DateTime,AddedIPs,RemovedIPs
1558660922,6,0
1558661523,3,0
1558662122,1,0
1558662482,0,55
1558662722,3,0
1558663322,2,0
1558663358,2,2
1558664404,111,153
1558665722,3,0
1558666322,78,0
1558666958,4,1
1558667523,2,0
1558668123,6,0
1558668723,1,0
1558669323,7,0
1558669922,4,0
1558670164,73,206
1558671122,1,0
1558671722,2,0
1558672083,76,0
1558672322,1,0
1558672922,44,0
1558674218,3,0
1558674723,2,0
1558675323,2,0
1558675927,93,62
1558676522,11,0
1558677760,3,1
1558678922,6,0
1558679763,76,137
1558680125,4,0
1558681418,3,0
1558681922,6,1
1558682522,1,0
1558683602,92,0
1558683722,0,1
1558684922,9,0
1558684958,0,3
1558685522,6,0
1558686122,4,0
1558686723,4,0
1558687444,72,154
1558688523,2,0
1558688558,0,4
1558689722,3,0
1558690923,2,0
1558691282,72,0
1558694522,1,0
1558695123,76,112
1558695722,2,0
1558695818,0,4
1558696323,6,0
1558696922,2,0
1558699210,78,0
1558699418,1,2
1558699923,2,0
1558701122,48,16
1558701723,2,0
1558703043,66,79
1558703330,1157,282
1558703523,6,0
1558704122,1,0
1558705322,2,0
1558706522,3,0
1558706620,0,3
1558707122,1,0
1558707722,1,0
1558708322,30,0
1558708803,61,108
1558708922,10,0
1558710123,18,0
1558710158,0,2
1558710723,10,0
1558711322,1,0
1558712642,84,1
1558713819,11,2
1558714922,4,0
1558715522,1,0
1558716122,3,0
1558716483,93,146
1558717323,1,0
1558717359,0,3
1558718523,1,0
1558719122,1,0
1558720323,79,0
1558720923,2,0
1558722123,2,0
1558722723,3,0
1558723322,34,0
1558724164,81,132
1558724522,3,0
1558724619,0,2
1558726322,1,0
1558728014,83,0
1558728159,2,0
1558728722,20,0
1558729923,1,105
1558730523,2,0
1558731842,109,0
1558732322,13,0
1558732922,22,0
1558733522,1,0
1558733763,64,75
1558734123,3,0
1558735359,3,0
1558738565,55,186
1558740483,95,0
1558741322,1,0
1558741922,23,0
1558742414,0,95
1558742559,19,1
1558743123,5,0
1558743723,1,0
1558744322,125,0
1558745045,12,0
1558746243,2,170
1558746722,1,0
1558747322,2,0
1558748162,77,0
1558748523,1,0
1558749759,6,3
1558750923,8,0
1558751523,2,0
1558752004,69,79
1558752723,5,0
1558753323,2,0
1558753359,0,2
1558754522,1,0
1558755122,5,0
1558755844,81,94
1558756922,2,0
1558756959,0,1
1558757762,80,9
1558758122,1,0
1558759322,1,0
1558760522,4,0
1558760619,0,3
1558761603,0,166
1558761723,2,0
1558762922,2,0
1558763523,93,0
1558764122,1,0
1558764163,0,3
1558765443,3,73
1558767363,86,0
1558767759,1,0
1558769283,0,48
1558770723,4,0
1558771214,71,0
1558771359,21,3
1558772523,2,0
1558773122,73,16
1558773722,8,0
1558774322,3,0
1558775283,2,118
1558776122,15,0
1558777203,73,0
1558777323,1,0
1558777922,3,0
1558778559,3,0
1558779124,0,72
1558779722,1,0
1558781042,102,0
1558782122,1,0
1558782159,0,1
1558782722,5,0
1558783203,0,57
1558783322,4,0
1558784523,2,0
1558785123,70,0
1558786922,1,0
1558787522,3,0
1558788123,2,0
1558788965,73,111
1558789322,2,0
1558789360,0,1
1558789922,2,0
1558790429,1172,333
1558791722,4,0
1558792322,2,0
1558792811,99,0
1558792960,3,1
1558794122,17,0
1558795322,33,0
1558795923,1,0
1558796643,66,29
1558797122,1,1
1558797843,2,110
1558798562,82,0
1558798923,22,0
1558799522,31,0
1558800122,4,0
1558800484,65,15
1558801322,5,0
1558801684,15,61
1558801922,9,0
1558802522,7,0
1558803122,12,0
1558803722,2,0
1558803820,0,2
1558804323,68,16
1558804922,7,0
1558805523,19,66
1558806122,3,0
1558806722,1,0
1558807442,2,76
1558807922,4,0
1558808522,1,0
1558809722,15,0
1558810082,81,0
1558811282,2,84
1558812122,2,0
1558813322,2,1
1558813922,86,0
1558814522,14,0
1558815123,0,74
1558815722,1,0
1558816922,2,0
1558817762,73,0
1558818122,4,0
1558818723,3,0
1558819323,26,0
1558819922,10,0
1558820882,52,74
1558821612,0,94
1558821723,4,0
1558822323,2,0
1558822923,2,0
1558823523,61,0
1558824123,39,0
1558825923,1,0
1558826643,0,114
1558827364,92,0
1558827722,1,0
1558830122,19,0
1558830482,0,96
1558831322,9,0
1558831922,7,0
1558832523,1,0
1558833129,151,8
1558833722,2,0
1558834323,1,83
1558834922,3,0
1558835522,1,0
1558836123,1,0
1558836962,75,0
1558837323,2,0
1558838162,0,97
1558838522,2,1
1558838882,75,0
1558839122,23,0
1558839723,5,0
1558840322,1,0
1558840923,4,0
1558841522,6,0
1558842243,22,115
1558843323,3,0
1558844643,204,0
1558845122,2,0
1558845723,3,0
1558846083,0,163
1558846923,3,0
1558847522,2,0
1558848122,1,0
1558848723,1,0
1558849322,12,0
1558849922,1,0
1558850410,81,0
1558850522,3,0
1558851122,1,0
1558851723,2,0
1558852322,68,8
1558852923,3,0
1558853763,0,101
1558854123,6,0
1558854723,8,0
1558855322,9,0
1558855922,4,0
1558856163,86,0
1558856523,3,3
1558857123,2,0
1558857722,1,0
1558858922,3,0
