DateTime,AddedIPs,RemovedIPs
1557944821,409,411
1557947778,1,3
1557951634,6,0
1557952056,255,0
1557953121,255,0
1557955819,494,516
1557957427,0,3
1557958114,255,0
1557958831,4,255
1557966073,2,0
1557966421,291,293
1557968422,0,2
1557970222,254,0
1557973226,2,0
1557977221,822,975
1557979214,66,95
1557979267,1,1
1557980432,4,0
1557987635,2,0
1557988203,573,617
1557988955,0,3
1557994831,4,0
1557998441,0,21
1557998821,696,701
1557999779,2,0
1558002035,3,0
1558007427,15,0
1558009227,4,0
1558009621,473,466
1558009863,0,2
1558013256,0,1
1558016922,123,114
1558019814,4,2
1558020924,348,343
1558023634,5,0
1558026019,0,254
1558030833,4,1
1558031561,384,386
1558032319,255,0
1558038081,4,0
1558041830,0,27
1558042021,333,338
1558042475,2,4
1558045236,1,0
1558052438,2,0
1558052821,292,290
1558053570,3,6
1558059645,1,0
1558063477,1,2
1558063621,776,808
1558064491,1,5
1558067413,88,712
1558067426,2,0
1558074028,3,0
1558074421,818,828
1558075310,0,1
1558078536,1,0
1558081236,3,0
1558085257,0,10
1558085666,381,369
1558088881,5,0
1558090357,10,1
1558095623,1,0
1558096518,492,488
1558099575,3,1
1558102870,2,0
1558104977,108,105
1558107383,439,433
1558107566,1,0
1558110024,5,0
1558114528,0,256
1558117621,359,359
1558118593,1,3
1558124425,7,0
1558128741,311,338
1558129490,0,1
1558131627,1,0
1558138827,2,0
1558140415,0,1
1558144829,227,228
1558146026,1,0
1558148726,1,0
1558151031,5,0
1558153222,3,0
1558153621,972,974
1558155614,100,3621
1558160782,1,0
1558161820,0,1
1558164421,519,509
1558167625,4,0
1558171825,0,22
1558172760,1,1
1558174828,3,0
1558175404,504,508
1558181132,5,0
1558182033,1,0
1558183648,1,1
1558186008,1,0
1558186021,519,517
1558189241,0,1
1558193075,86,71
1558193834,1,2
1558196441,3,0
1558196792,1434,0
1558196821,402,398
1558202723,1,0
1558203319,229,0
1558203639,3,1
1558203745,252,0
1558204527,1,0
1558204662,1,2
1558207690,256,1
1558207804,398,415
1558210972,8,0
1558215006,255,18
1558215177,3,3
1558218027,2,0
1558218421,341,344
1558225227,3,0
1558225751,2,2
1558225822,1018,0
1558229221,718,726
1558232594,2,0
1558236536,1,3
1558236972,1,1
1558239634,4,0
1558239951,254,0
1558240021,777,775
1558243815,58,1017
1558246824,1,0
1558247491,0,2
1558250821,501,497
1558251634,1,1
1558254034,4,0
1558257632,0,21
1558258126,2,3
1558261232,2,0
1558262133,508,505
1558263036,2,0
1558268431,4,0
1558269371,2,2
1558271823,2,0
1558272421,458,458
1558275625,0,1
1558279874,0,1
1558280914,211,233
1558282830,6,0
1558283221,378,371
1558286122,0,507
1558290029,2,0
1558290931,0,8
1558291625,509,0
1558294021,385,383
1558297232,8,0
1558300828,0,19
1558301199,0,1
1558304118,255,0
1558304650,1,0
1558304821,398,399
1558310851,254,0
1558312166,2,3
1558312221,251,0
1558315621,822,822
1558318833,1,0
1558322837,1,3
1558326045,3,0
1558326421,771,778
1558326933,1,0
1558327837,1,0
1558330543,2,0
1558332014,65,89
1558332330,1,0
1558334127,6,0
1558337221,626,609
1558338635,1,0
1558339546,4,0
1558340475,2,0
1558344351,1,15
1558346737,1,0
1558347632,4,0
1558348204,578,572
1558352264,1,0
1558353046,6,0
1558354089,5,0
1558355206,3,3
1558356633,8,0
1558358821,488,486
1558362080,3,0
1558362603,503,0
1558365987,1,2
1558368737,92,86
1558369240,3,0
1558369621,427,426
1558370179,10,3
1558370716,256,0
1558372517,0,254
1558376427,4,0
1558376898,0,4
1558380421,437,438
1558383634,2,0
1558387226,0,23
1558387766,2,1
1558391221,433,437
1558391739,2,0
1558398048,3,0
1558398639,1,1
1558398668,759,0
1558402021,734,726
1558407039,1,0
1558409766,0,4
1558412649,6,0
1558412821,805,804
1558413874,1,0
1558416049,2,0
1558416936,3,0
1558420214,90,71
1558420525,4,2
1558423621,587,583
1558426831,2,0
1558430435,0,18
1558431351,0,6
1558434039,7,0
1558434421,555,540
1558435835,13,0
1558436772,1,0
1558438534,1,0
1558441227,2,0
1558442256,0,5
1558445221,451,455
1558448484,2,1
1558452974,0,4
1558455631,4,0
1558456021,435,437
1558456578,159,170
1558457117,254,0
1558457555,5,1
1558462833,2,1
1558463733,254,1
1558464633,1,0
1558467004,438,436
1558470460,4,0
1558473640,0,22
1558474767,1,2
1558477230,4,0
1558477837,410,403
1558483529,3,0
1558485882,1,3
1558488421,664,667
1558491893,3,0
1558496185,0,2
1558498835,7,0
1558499221,829,814
1558501241,1,1
1558505134,1,0
1558506025,3,0
1558506390,1,0
1558508414,75,74
1558510021,665,646
1558513237,4,0
1558515133,1,0
1558516841,0,12
1558520434,5,0
1558520821,549,546
1558525948,11,0
1558526741,1,0
1558527628,3,0
1558528531,1,1
1558531023,1,0
1558531622,565,561
1558534834,3,0
1558537541,1,0
1558537961,1,1
1558542033,4,0
1558542604,426,433
1558544506,84,67
1558544981,8,4
1558549638,3,257
1558550131,1,0
1558553221,340,338
1558556432,3,0
1558559781,254,0
1558560032,1,0
1558560339,0,20
1558560555,0,1
1558561832,1,0
1558563641,3,0
1558564021,343,356
1558570836,2,1
1558571403,2,3
1558574831,678,685
1558575344,2,0
1558576232,1,0
1558578034,3,0
1558582225,2,1
