DateTime,AddedIPs,RemovedIPs
1558516923,1,0
1558518122,2,0
1558519323,2,0
1558520522,17,0
1558521722,2,0
1558524122,1,0
1558525322,1,0
1558525923,2,0
1558529075,1479,206
1558530122,3,0
1558530723,10,0
1558531323,2,0
1558534322,1,0
1558534922,2,0
1558536123,3,0
1558537323,2,0
1558537922,4,0
1558538522,2,0
1558540922,5,0
1558541522,10,0
1558542122,10,0
1558542722,10,0
1558543323,7,0
1558544522,16,0
1558545123,5,0
1558545722,4,0
1558546923,2,0
1558548723,1,0
1558549922,9,0
1558551122,3,0
1558552922,5,0
1558554122,2,0
1558554722,1,0
1558556523,3,0
1558558922,3,1
1558559522,19,0
1558560122,26,0
1558561322,18,0
1558562522,2,0
1558563122,2,0
1558563722,6,0
1558564922,2,0
1558566122,3,0
1558567322,4,0
1558568523,1,0
1558569128,1,0
1558569723,2,0
1558570322,14,0
1558570922,8,0
1558571522,2,0
1558572722,0,1
1558574523,2,0
1558575122,2,0
1558575722,1,0
1558576922,2,0
1558578123,2,0
1558579322,9,0
1558580523,3,0
1558581722,6,0
1558582322,5,0
1558582922,1,0
1558584122,4,0
1558584722,1,0
1558585322,6,1
1558587722,1,0
1558588923,2,0
1558589523,1,0
1558590722,2,0
1558591322,37,0
1558591923,2,0
1558592522,5,0
1558593122,1,0
1558593722,5,0
1558594922,6,0
1558596122,3,0
1558597322,6,0
1558598523,4,0
1558599123,1,0
1558599722,1,0
1558600322,2,0
1558600922,1,1
1558601522,3,0
1558602122,3,0
1558602723,13,0
1558603322,2,0
1558604522,3,0
1558605722,14,0
1558606923,3,0
1558608722,1,0
1558609322,10,0
1558610522,1,0
1558612922,1,0
1558614122,4,0
1558615323,1,0
1558616188,1294,245
1558617122,2,1
1558617722,1,0
1558618922,3,0
1558619522,1,0
1558620122,17,0
1558621323,21,0
1558622522,16,0
1558623122,20,0
1558623723,25,0
1558624323,3,0
1558624922,2,0
1558625523,1,0
1558627322,9,0
1558629122,4,0
1558630923,2,0
1558631523,2,0
1558632123,3,0
1558632722,1,0
1558633322,4,0
1558634523,2,0
1558635122,3,0
1558636322,1,0
1558636922,13,0
1558637522,1,0
1558638123,4,0
1558638722,1,0
1558639322,2,0
1558640522,4,0
1558641722,1,0
1558644122,3,0
1558646522,13,0
1558647723,4,0
1558649522,5,0
1558650123,2,0
1558651322,4,0
1558652522,1,0
1558653122,6,0
1558653722,2,0
1558654922,1,0
1558656125,18,0
1558657322,1,0
1558659122,2,0
1558659722,1,0
1558660922,6,0
1558661523,3,0
1558662122,1,0
1558662722,3,0
1558663322,2,0
1558665722,3,0
1558666322,3,0
1558666923,4,1
1558667523,2,0
1558668123,6,0
1558668723,1,0
1558669323,7,0
1558669922,4,0
1558671122,1,0
1558671722,2,0
1558672322,1,0
1558672922,44,0
1558674122,3,0
1558674723,2,0
1558675323,2,0
1558675923,1,0
1558676522,11,0
1558677723,3,0
1558678922,6,0
1558680125,4,0
1558681322,3,0
1558681922,6,1
1558682522,1,0
1558683722,0,1
1558684922,9,0
1558685522,6,0
1558686122,4,0
1558686723,4,0
1558687322,3,0
1558688523,2,0
1558689722,3,0
1558690923,2,0
1558694522,1,0
1558695722,2,0
1558696323,6,0
1558696922,2,0
1558699323,1,0
1558699923,2,0
1558701723,2,0
1558703330,1157,285
1558703523,6,0
1558704122,1,0
1558705322,2,0
1558706522,3,0
1558707122,1,0
1558707722,1,0
1558708322,30,0
1558708922,10,0
1558710123,18,0
1558710723,10,0
1558711322,1,0
1558712522,0,1
1558713723,11,0
1558714922,4,0
1558715522,1,0
1558716122,3,0
1558717323,1,0
1558718523,1,0
1558719122,1,0
1558720323,2,0
1558720923,2,0
1558722123,2,0
1558722723,3,0
1558723322,34,0
1558724522,3,0
1558726322,1,0
1558728122,2,0
1558728722,20,0
1558729922,1,0
1558730523,2,0
1558731722,3,0
1558732322,13,0
1558732922,22,0
1558733522,1,0
1558734123,3,0
1558735322,3,0
1558738322,1,0
1558741322,1,0
1558741922,23,0
1558742523,17,0
1558743123,5,0
1558743723,1,0
1558745045,12,0
1558746122,2,0
1558746722,1,0
1558747322,2,0
1558748523,1,0
1558749723,6,0
1558750923,8,0
1558751523,2,0
1558752723,5,0
