DateTime,AddedIPs,RemovedIPs
1558058168,15,15
1558060091,14,11
1558062023,25,9
1558063934,6,16
1558066104,9,14
1558068010,20,16
1558069960,7,15
1558071875,12,17
1558073794,42,29
1558075694,20,13
1558077861,22,22
1558079771,18,23
1558081700,14,12
1558083627,28,22
1558085541,19,14
1558087475,21,1189
1558089400,50,24
1558091549,474,0
1558093479,49,18
1558095371,31,26
1558097291,26,30
1558099208,33,21
1558101147,27,18
1558103051,23,8
1558104976,38,17
1558106911,16,11
1558109193,34,25
1558111233,26,11
1558113736,29,25
1558115548,27,17
1558117450,27,16
1558119368,35,18
1558121305,28,18
1558123223,35,14
1558125155,22,27
1558127176,27,30
1558129231,22,24
1558131134,27,14
1558134403,400,1
1558136409,16,18
1558138360,14,17
1558140251,19,24
1558142173,20,15
1558144117,15,15
1558146034,16,6
1558148176,19,15
1558150094,13,10
1558152263,18,19
1558154415,15,14
1558156581,10,20
1558158518,16,16
1558160432,17,15
1558162540,25,17
1558164486,13,15
1558166430,20,13
1558168335,11,27
1558170278,16,27
1558172168,19,22
1558174109,17,1033
1558176010,39,48
1558177938,470,0
1558179869,40,20
1558181772,35,22
1558183689,31,6
1558185612,40,25
1558187548,31,11
1558189450,20,19
1558191364,26,18
1558193289,27,11
1558195109,23,12
1558197132,17,15
1558199054,30,15
1558200990,19,13
1558202911,21,23
1558204814,26,22
1558206729,21,25
1558208667,31,17
1558210570,26,24
1558212734,31,26
1558214673,41,14
1558216571,25,23
1558218488,14,27
1558220440,374,0
1558222360,15,15
1558224261,12,16
1558226172,23,10
1558228116,11,18
1558230035,13,10
1558231933,9,16
1558233868,24,16
1558235772,12,12
1558237691,15,7
1558239607,17,17
1558241552,7,11
1558243453,13,12
1558245391,17,19
1558247295,15,16
1558249227,19,25
1558251162,30,17
1558253076,19,18
1558254970,16,21
1558257138,17,23
1558259055,22,14
1558260990,35,1112
1558262908,25,27
1558264833,453,0
1558266738,34,15
1558268654,26,13
1558270592,39,22
1558272493,35,18
1558274441,27,18
1558276357,33,16
1558278257,25,15
1558280189,19,15
1558282091,21,21
1558284038,39,13
1558285939,27,10
1558287856,22,15
1558289794,25,21
1558291702,16,21
1558293609,20,21
1558295572,23,18
1558297452,35,14
1558299368,28,24
1558301314,21,17
1558303236,28,24
1558305158,21,18
1558307057,364,0
1558308971,22,19
1558311162,28,13
1558313074,18,12
1558314977,19,19
1558316896,15,16
1558318831,28,11
1558320731,6,14
1558322675,17,11
1558324573,32,21
1558326493,22,14
1558328440,17,10
1558330355,11,9
1558332273,21,12
1558334172,8,18
1558336113,21,19
1558338012,16,20
1558339934,15,11
1558341873,18,18
1558343780,27,21
1558345713,14,16
1558347608,17,1048
1558349527,23,18
1558351450,429,0
1558353374,20,17
1558355317,16,20
1558357234,25,13
1558359166,44,16
1558361057,28,9
1558362973,31,24
1558364915,42,14
1558366815,24,19
1558368744,22,7
1558370664,13,11
1558372594,18,20
1558374489,15,16
1558376428,29,16
1558378353,24,15
1558380256,15,16
1558382193,28,38
1558384111,17,15
1558386033,23,25
1558387955,11,14
1558389861,40,33
1558391773,33,25
1558393723,411,0
1558395613,38,14
1558397536,34,13
1558399476,19,20
1558401399,22,14
1558403295,18,12
1558405213,23,16
1558407154,24,15
1558409056,22,15
1558410994,35,9
1558412895,12,13
1558414826,23,14
1558416736,12,15
1558418673,21,12
1558420574,14,17
1558422495,25,13
1558424437,30,32
1558426355,25,21
1558428254,25,17
1558430192,20,15
1558432096,15,26
1558434028,21,1064
1558435942,32,25
1558437863,429,0
1558439789,41,26
1558441709,37,20
1558443624,43,22
1558445560,36,13
1558447481,34,20
1558449391,38,16
1558451313,37,7
1558453214,30,26
1558455136,28,16
1558456964,18,16
1558458969,27,12
1558460905,34,17
1558462825,22,12
1558464744,18,12
1558466664,26,17
1558468582,30,17
1558470493,20,17
