DateTime,Entries,UniqueIPs
1558058168,2336,2336
1558060091,2339,2339
1558062023,2355,2355
1558063934,2345,2345
1558066104,2340,2340
1558068010,2344,2344
1558069960,2336,2336
1558071875,2331,2331
1558073794,2344,2344
1558075694,2351,2351
1558077861,2351,2351
1558079771,2346,2346
1558081700,2348,2348
1558083627,2354,2354
1558085541,2359,2359
1558087475,1191,1191
1558089400,1217,1217
1558091549,1691,1691
1558093479,1722,1722
1558095371,1727,1727
1558097291,1723,1723
1558099208,1735,1735
1558101147,1744,1744
1558103051,1759,1759
1558104976,1780,1780
1558106911,1785,1785
1558109193,1794,1794
1558111233,1809,1809
1558113736,1813,1813
1558115548,1823,1823
1558117450,1834,1834
1558119368,1851,1851
1558121305,1861,1861
1558123223,1882,1882
1558125155,1877,1877
1558127176,1874,1874
1558129231,1872,1872
1558131134,1885,1885
1558134403,2284,2284
1558136409,2282,2282
1558138360,2279,2279
1558140251,2274,2274
1558142173,2279,2279
1558144117,2279,2279
1558146034,2289,2289
1558148176,2293,2293
1558150094,2296,2296
1558152263,2295,2295
1558154415,2296,2296
1558156581,2286,2286
1558158518,2286,2286
1558160432,2288,2288
1558162540,2296,2296
1558164486,2294,2294
1558166430,2301,2301
1558168335,2285,2285
1558170278,2274,2274
1558172168,2271,2271
1558174109,1255,1255
1558176010,1246,1246
1558177938,1716,1716
1558179869,1736,1736
1558181772,1749,1749
1558183689,1774,1774
1558185612,1789,1789
1558187548,1809,1809
1558189450,1810,1810
1558191364,1818,1818
1558193289,1834,1834
1558195109,1845,1845
1558197132,1847,1847
1558199054,1862,1862
1558200990,1868,1868
1558202911,1866,1866
1558204814,1870,1870
1558206729,1866,1866
1558208667,1880,1880
1558210570,1882,1882
1558212734,1887,1887
1558214673,1914,1914
1558216571,1916,1916
1558218488,1903,1903
1558220440,2277,2277
1558222360,2277,2277
1558224261,2273,2273
1558226172,2286,2286
1558228116,2279,2279
1558230035,2282,2282
1558231933,2275,2275
1558233868,2283,2283
1558235772,2283,2283
1558237691,2291,2291
1558239607,2291,2291
1558241552,2287,2287
1558243453,2288,2288
1558245391,2286,2286
1558247295,2285,2285
1558249227,2279,2279
1558251162,2292,2292
1558253076,2293,2293
1558254970,2288,2288
1558257138,2282,2282
1558259055,2290,2290
