DateTime,AddedIPs,RemovedIPs
1514898678,6216,42113
1514985128,42113,67128
1515071702,67128,13304
1515158190,13304,1672
1515244625,1672,100600
1515331110,100600,50561
1515417663,50561,42097
1515504265,42097,17049
1515590726,17049,131312
1515677284,131312,7256
1515763795,7256,17024
1515850217,17024,1048
1515936676,1048,18240
1516023183,18240,273
1516109665,273,2469
1516196107,2469,1104
1516282581,1104,37729
1516369165,37729,14248
1516455662,14248,37632
1516542129,37632,4616
1516628650,4616,416
1516715103,416,33328
1516801598,33328,52305
1516888118,52305,35289
1516974566,35289,9880
1517061062,9880,16341
1517147629,16341,11184
1517234162,11184,25242
1517320716,25242,46552
1517407144,46552,6008
1517493608,6008,33353
1517580068,33353,16678
1517666534,16678,460232
1517753015,460232,533489
1517839492,533489,17337
1517925911,17337,520
1518012377,520,9072
1518098844,9072,67085
1518185296,67085,17929
1518271813,17929,262800
1518358276,262800,23448
1518444794,23448,20129
1518531272,20129,2912
1518617704,2912,402608
1518704164,402608,37178
1518790623,37178,312440
1518877143,312440,42890
1518963758,42890,8936
1519050205,8936,66849
1519136713,66849,2752
1519223165,2752,20784
1519309684,20784,146448
1519396152,146448,24112
1519482612,24112,6336
1519569066,6336,107232
1519655561,107232,34488
1519742040,34488,472
1519828463,472,71913
1519914943,71913,19064
1520001549,19064,287355
1520088005,287355,70944
1520174516,70944,2616
1520260961,2616,4481
1520347562,4481,84649
1520434048,84649,21424
1520520663,21424,162008
1520607254,162008,2712
1520693719,2712,286350
1520780220,286350,9144
1520866625,9144,11384
1520953086,11384,624
1521039551,624,464
1521126008,464,37968
1521212468,37968,33888
1521299023,33888,20336
1521385478,20336,26744
1521471921,26744,74329
1521558367,74329,75488
1521644825,75488,527446
1521731415,527446,712
1521817874,712,1314464
1521904413,1314464,11056
1521990897,11056,249976
1522077304,249977,25651
1522163783,25651,596473
1522250223,596472,920
1522509605,920,17923
1522596134,17923,265280
1522682655,265280,140248
1522769251,140248,21427
1522855718,21427,68423
1522942211,68423,9082
1523028668,9082,3960
1523115150,3960,5065
1523201706,5065,36512
1523288243,36512,67976
1523374691,67976,63682
1523461146,63682,3162256
1523547606,3162256,896
1523634124,896,9128
1523720721,9128,88080
1523807330,88080,13176
1523893756,13176,42904
1523980248,42904,26256
1524066665,26256,2768
1524153126,7036,9848
1524239666,9848,66160
1524412578,66160,6020
1524499036,6020,16735
1524585508,16735,4112
1524672002,4112,151055
1524758464,151055,528756
1524844926,528756,83857
