DateTime,AddedIPs,RemovedIPs
1558579511,684,698
1558580415,683,1407
1558581313,755,928
1558582210,748,855
1558583110,717,585
1558584012,3982,1166
1558584914,1149,648
1558585811,1091,640
1558586713,955,462
1558587613,1159,867
1558588512,1222,1835
1558589411,1204,2132
1558590315,1348,4220
1558591213,1380,2931
1558592111,1279,1988
1558593016,1111,412
1558593914,1265,468
1558594814,1379,350
1558595717,1297,454
1558596612,1249,650
1558597517,1055,702
1558598416,1291,495
1558599314,1203,608
1558600212,1150,402
1558601115,1104,348
1558602016,1077,381
1558602916,1025,338
1558603814,1027,872
1558604713,1087,1208
1558605614,1215,1194
1558606515,1306,1357
1558607413,1434,1394
1558608315,1280,976
1558609212,1293,1100
1558610112,1203,1172
1558611016,1141,1166
1558611916,1305,1263
1558612812,1247,1028
1558613717,1246,1386
1558614616,1361,1147
1558615516,1504,1287
1558616415,1475,1403
1558617311,1296,1053
1558618215,1370,1176
1558619111,1177,1176
1558620013,1237,1328
1558620915,1080,1104
1558621815,1217,1245
1558622715,1178,1128
1558623614,1236,1484
1558624516,1139,1202
1558625414,1082,1226
1558626312,946,1678
1558627215,880,1260
1558629010,1496,3115
1558629913,722,1494
1558630814,712,1330
1558631712,896,1392
1558632617,744,1350
1558633516,738,1060
1558634414,740,1116
1558635312,3058,1761
1558636210,2041,1006
1558637113,1239,657
1558638013,1300,639
1558638913,1227,519
1558639813,772,612
1558640713,793,573
1558641613,697,681
1558642513,820,649
1558643412,701,547
1558644313,821,660
1558645215,1369,716
1558646114,1259,854
1558647013,1230,2544
1558647912,1038,1659
1558648813,1165,1524
1558649713,1057,1433
1558650613,1097,1389
1558651510,1113,960
1558652411,945,689
1558653312,927,747
1558654210,967,899
1558655113,897,961
1558656014,916,1096
1558656914,1000,1421
1558657812,971,1329
1558658712,994,1032
1558659614,1088,1223
1558660510,1149,1057
1558661414,1111,1066
1558662310,1038,1105
1558663213,1000,1426
1558664132,899,1014
1558665010,1039,1020
1558665912,918,832
1558666812,886,895
1558667713,934,792
1558668613,957,913
1558669514,1021,1049
1558670412,987,1090
1558671310,895,896
1558672212,924,1082
1558673111,955,949
1558674010,1009,616
1558674912,956,906
1558675810,1003,894
1558676714,1125,1125
1558677610,987,1055
1558678515,1084,988
1558679413,1205,980
1558680313,1114,1171
1558681212,1026,1196
1558682113,1053,1284
1558683011,1034,1331
1558683913,976,1174
1558684811,962,1175
1558685712,910,1085
1558686612,868,1210
1558687512,837,1076
1558688410,936,1259
1558689310,916,1008
