DateTime,Entries,UniqueIPs
1558579511,8669,8669
1558580415,7945,7945
1558581313,7772,7772
1558582210,7665,7665
1558583110,7797,7797
1558584012,10613,10613
1558584914,11114,11114
1558585811,11565,11565
1558586713,12058,12058
1558587613,12350,12350
1558588512,11737,11737
1558589411,10809,10809
1558590315,7937,7937
1558591213,6386,6386
1558592111,5677,5677
1558593016,6376,6376
1558593914,7173,7173
1558594814,8202,8202
1558595717,9045,9045
1558596612,9644,9644
1558597517,9997,9997
1558598416,10793,10793
1558599314,11388,11388
1558600212,12136,12136
1558601115,12892,12892
1558602016,13588,13588
1558602916,14275,14275
1558603814,14430,14430
1558604713,14309,14309
1558605614,14330,14330
1558606515,14279,14279
1558607413,14319,14319
1558608315,14623,14623
1558609212,14816,14816
1558610112,14847,14847
1558611016,14822,14822
1558611916,14864,14864
1558612812,15083,15083
1558613717,14943,14943
1558614616,15157,15157
1558615516,15374,15374
1558616415,15446,15446
1558617311,15689,15689
1558618215,15883,15883
1558619111,15884,15884
1558620013,15793,15793
1558620915,15769,15769
1558621815,15741,15741
1558622715,15791,15791
1558623614,15543,15543
1558624516,15480,15480
1558625414,15336,15336
1558626312,14604,14604
1558627215,14224,14224
1558629010,12605,12605
1558629913,11833,11833
1558630814,11215,11215
1558631712,10719,10719
1558632617,10113,10113
1558633516,9791,9791
1558634414,9415,9415
1558635312,10712,10712
1558636210,11747,11747
1558637113,12329,12329
1558638013,12990,12990
1558638913,13698,13698
1558639813,13858,13858
1558640713,14078,14078
1558641613,14094,14094
1558642513,14265,14265
1558643412,14419,14419
1558644313,14580,14580
1558645215,15233,15233
1558646114,15638,15638
1558647013,14324,14324
1558647912,13703,13703
1558648813,13344,13344
1558649713,12968,12968
1558650613,12676,12676
1558651510,12829,12829
1558652411,13085,13085
1558653312,13265,13265
1558654210,13333,13333
1558655113,13269,13269
1558656014,13089,13089
1558656914,12668,12668
1558657812,12310,12310
1558658712,12272,12272
1558659614,12137,12137
1558660510,12229,12229
1558661414,12274,12274
1558662310,12207,12207
1558663213,11781,11781
1558664132,11666,11666
1558665010,11685,11685
1558665912,11771,11771
1558666812,11762,11762
1558667713,11904,11904
1558668613,11948,11948
1558669514,11920,11920
1558670412,11817,11817
1558671310,11816,11816
1558672212,11658,11658
1558673111,11664,11664
1558674010,12057,12057
1558674912,12107,12107
1558675810,12216,12216
1558676714,12216,12216
1558677610,12148,12148
1558678515,12244,12244
1558679413,12469,12469
1558680313,12412,12412
1558681212,12242,12242
1558682113,12011,12011
1558683011,11714,11714
1558683913,11516,11516
1558684811,11303,11303
1558685712,11128,11128
1558686612,10786,10786
1558687512,10547,10547
1558688410,10224,10224
1558689310,10132,10132
1558690215,10126,10126
1558691110,10147,10147
1558692013,10151,10151
1558692913,10294,10294
1558693812,10234,10234
1558694712,10279,10279
1558695612,10348,10348
1558696515,10576,10576
1558697413,10920,10920
1558698314,10960,10960
1558699213,10739,10739
1558700112,10521,10521
1558701014,10333,10333
1558701911,10285,10285
1558702815,10252,10252
1558703712,10224,10224
1558704613,10276,10276
1558705512,10400,10400
1558706413,10694,10694
1558707313,10930,10930
1558708210,11292,11292
1558709113,11580,11580
1558710012,11850,11850
1558710916,11962,11962
1558711811,12135,12135
1558712714,12168,12168
1558713617,12043,12043
1558714514,11959,11959
1558715415,12004,12004
1558716314,11909,11909
1558717214,11897,11897
1558718110,12181,12181
1558719010,12435,12435
1558719913,12588,12588
1558720816,12744,12744
1558721715,12816,12816
1558722617,12871,12871
1558723509,13052,13052
1558724414,12929,12929
1558725311,12779,12779
1558726215,12850,12850
1558727113,12941,12941
1558728014,13099,13099
1558728913,13077,13077
1558729810,12743,12743
1558730712,12582,12582
1558731613,12661,12661
1558732514,12752,12752
1558733414,12763,12763
1558734314,12823,12823
1558735211,12879,12879
1558736113,13068,13068
1558737911,13604,13604
1558738812,13654,13654
1558739712,13384,13384
1558740612,13186,13186
1558741513,13239,13239
1558742414,13090,13090
1558743311,13163,13163
1558744212,13153,13153
1558745113,12946,12946
1558746012,12673,12673
1558746912,12540,12540
1558747810,12361,12361
1558748712,12316,12316
1558749610,12206,12206
1558750510,11996,11996
1558751413,11823,11823
1558752311,11652,11652
1558753214,11662,11662
1558754113,11508,11508
1558755013,11539,11539
1558755914,11399,11399
1558756813,11368,11368
1558757713,11383,11383
1558758612,11372,11372
1558759514,11281,11281
1558760411,11293,11293
1558761311,11451,11451
1558762210,11524,11524
1558763112,11528,11528
1558764010,11585,11585
1558764911,11362,11362
1558765811,11109,11109
1558766711,10675,10675
1558767612,10504,10504
1558768511,10260,10260
1558769410,10047,10047
1558770312,9767,9767
1558771210,9536,9536
1558772112,9379,9379
1558773013,9082,9082
1558773910,8915,8915
