DateTime,AddedIPs,RemovedIPs
1524979088,1538,1642
1525065196,1478,1530
1525151812,1570,1498
1525238004,1529,1567
1525324650,1206,1547
1525411059,1243,1216
1525497202,1265,1276
1525584009,1600,1224
1525669979,1761,1550
1525756619,1448,1750
1525842799,1953,1436
1525929433,2872,1945
1526015569,2082,2893
1526101883,3141,2050
1526188596,1736,3096
1526275325,1427,1844
1526309744,0,0
1526361422,1657,1454
1526447912,1753,1562
1526534023,1520,1735
1526966081,2743,1615
1527052392,1415,2595
1527138788,2180,1457
1527225064,2141,2088
1527291367,0,0
1527293567,0,0
1527295616,0,0
1527298174,0,0
1527299623,0,0
1527300924,0,0
1527302281,0,0
1527303236,0,0
1527305675,0,0
1527309831,0,522
1527311257,522,0
1527312725,1828,2053
1527314177,0,0
1527315477,0,0
1527316688,0,0
1527317574,0,0
1527319694,0,0
1527320972,0,0
1527321963,0,60
1527322916,60,0
1527325329,0,0
1527326535,0,0
1527327550,0,0
1527328939,0,60
1527330180,0,248
1527331060,0,243
1527332295,0,259
1527333558,0,231
1527336905,1041,0
1527338233,0,0
1527339173,0,0
1527340399,0,0
1527341666,0,0
1527342566,0,60
1527343556,60,0
1527344858,0,0
1527346523,0,0
1527347876,0,0
1527350731,0,0
1527352752,0,0
1527354296,0,0
1527355518,0,0
1527356901,0,0
1527358196,0,0
1527359837,0,0
1527361566,0,0
1527366777,0,0
1527368265,0,0
1527369518,0,0
1527371146,0,0
1527372666,0,60
1527375552,60,0
1527379877,0,0
1527381338,0,0
1527382716,0,0
1527383956,0,0
1527385536,0,0
1527386932,0,60
1527388159,60,0
1527389643,0,0
1527392965,0,0
1527393938,0,0
1527395171,0,60
1527396102,60,0
1527398060,366,2339
1527398989,0,180
1527400204,180,0
1527485302,2071,363
1527571007,1853,1789
1527657152,2281,1813
1527743558,2254,2075
1527829969,2052,2317
1527914430,0,0
1527916481,0,2135
1527918695,0,0
1527921153,0,0
1527923347,0,0
1527924857,0,0
1527926043,0,0
1527927465,0,0
1527928534,0,0
1527929787,0,0
1527930878,0,0
1527931846,0,0
1527933089,0,0
1527934291,0,0
1527935231,0,0
1527936875,0,94
1527937887,94,0
1527939045,0,0
1527940249,0,0
1527941472,0,0
1527942660,0,0
1527943807,0,0
1527944983,0,0
1527946035,0,0
1527947229,0,0
