DateTime,AddedIPs,RemovedIPs
1516570336,37,0
1516655050,35,35
1516743860,43,80
1516829294,44,0
1516917857,44,88
1517003532,41,0
1517088492,44,41
1517177055,42,86
1517262257,45,0
1517347693,49,45
1517436263,45,94
1517522172,46,0
1517607140,41,45
1517693537,40,41
1517779692,39,37
1517864892,41,42
1517953456,42,84
1518038413,43,0
1518127698,43,86
1518210738,42,0
1518297377,40,82
1518384499,41,41
1518470894,44,0
1518557778,42,86
1518644900,44,44
1518728897,46,0
1518816737,41,87
1518902653,43,0
1518990735,39,82
1519075936,45,0
1519162576,44,89
1519249215,42,42
1519336569,47,47
1519422731,38,0
1519508899,32,34
1519595050,28,32
1519680735,34,31
1519767609,40,75
1519853777,39,0
1519939694,42,38
1520025378,45,41
1520114172,45,92
1520199606,45,0
1520285774,34,44
1520370735,42,34
1520460253,37,80
1520545449,41,0
1520630181,44,39
1520719697,45,91
1520805629,44,0
1520888457,36,42
1520977699,35,73
1521063622,37,0
1521149108,35,32
1521237618,41,81
1521323054,47,0
1521407766,40,45
1521496819,44,86
1521582010,47,0
1521666971,43,46
1521756023,47,91
1521841929,36,0
1521927618,33,34
1522012571,26,25
1522101852,38,74
1522187052,40,0
1522274419,35,75
1522360099,43,0
1522446973,43,86
1522532893,43,0
1522618335,44,42
1522703776,43,43
1522793295,35,80
1522877784,38,0
1522965829,29,67
1523052032,39,0
1523137210,35,36
1523221933,41,36
1523311229,46,89
1523396656,44,0
1523481854,45,43
1523567057,44,43
1523653454,43,46
1523742253,46,90
1523826746,46,0
1523915288,44,90
1524000010,46,0
1524089066,45,91
1524121219,0,0
1524171856,46,0
1524261371,46,92
1524346572,47,0
1524431783,42,43
1524521295,46,92
1524606502,48,0
1524692660,45,46
1524777853,43,43
1524863534,45,46
1524949235,46,45
1526573536,48,95
1526658486,49,0
1526744173,44,48
1526828887,35,41
1526917457,37,76
1527004338,42,42
1527090254,48,0
1527175932,45,47
1527261374,46,46
1527288498,0,46
1527294040,0,0
1527298593,0,0
1527302675,0,0
1527307713,0,0
1527311794,0,0
1527316113,0,0
1527320440,0,0
1527324754,0,0
1527329320,0,0
1527333874,0,0
