DateTime,AddedIPs,RemovedIPs
1516578266,33,65
1516662732,24,0
1516751772,31,69
1516836968,27,42
1516922184,31,33
1517011277,31,29
1517094736,31,24
1517184029,46,32
1517269698,27,31
1517355375,32,0
1517440104,31,34
1517529856,26,64
1517615539,39,0
1517701456,31,63
1517787379,30,0
1517872576,27,29
1517961135,31,60
1518046091,31,36
1518131777,26,0
1518218896,28,35
1518305053,31,32
1518392663,27,57
1518479539,22,27
1518565702,24,0
1518649461,16,32
1518736821,26,60
1518824656,28,30
1518911778,24,23
1518998662,32,23
1519083863,33,0
1519170739,27,45
1519257376,27,17
1519344506,29,32
1519430422,31,23
1519517777,29,28
1519602731,35,0
1519688411,29,40
1519775294,32,31
1519862429,26,58
1519947862,24,0
1520033054,27,31
1520122100,32,24
1520207534,33,64
1520293698,28,30
1520378652,30,0
1520467933,24,55
1520553128,25,25
1520637857,22,30
1520727610,22,31
1520813533,12,32
1520900408,21,30
1520985373,20,27
1521071548,27,0
1521156745,16,24
1521246019,23,37
1521330730,20,0
1521419287,14,39
1521504725,21,0
1521589689,24,15
1521678491,16,42
1521763692,26,22
1521849853,20,0
1521935288,17,20
1522024568,13,34
1522110013,21,23
1522194981,19,17
1522282810,23,0
1522369219,17,45
1522455855,24,18
1522540581,9,15
1522626495,22,0
1522715535,23,41
1522801698,25,21
1522887376,24,0
1522973530,15,19
1523059932,14,22
1523148731,13,31
1523233451,14,26
1523318890,19,0
1523404572,19,23
1523493615,15,45
1523579633,21,15
1523664974,17,9
1523753776,16,12
1523838253,13,18
1523926816,21,15
1524011528,22,16
1524098180,24,0
1524121217,0,21
1524184094,23,0
1524269048,17,17
1524358335,12,14
1524443535,23,37
1524528982,20,0
1524618254,24,49
1524704423,18,0
1524789377,25,40
1524875536,28,15
1524960734,13,0
1526573534,36,204
1526646996,31,0
1526732424,21,0
1526821205,18,0
1526905933,28,0
1526992337,26,0
1527078731,28,0
1527164425,27,0
1527253464,27,40
1527288497,0,0
1527294038,0,0
1527298591,0,0
1527302673,0,0
1527307712,0,0
1527311793,0,0
1527316111,0,0
1527320439,0,0
1527324752,0,0
1527329317,0,0
1527333872,0,0
1527338672,22,17
1527342989,0,0
1527347069,0,0
1527351394,0,0
1527355966,0,0
1527360510,0,0
1527364841,0,0
1527368674,0,0
1527373243,0,0
1527377791,0,0
1527381871,0,0
1527386190,0,0
1527390270,0,0
1527394589,0,0
1527398434,0,0
1527425531,17,0
1527511208,28,45
1527595934,31,0
1527684730,32,48
1527769687,32,37
1527858256,33,0
1527894505,0,0
1527958112,31,20
1527962912,0,0
1527967711,0,0
1527972271,0,0
1527976591,0,0
1527981395,0,0
1527985960,0,0
1527990751,0,0
1527995551,0,0
1528000355,0,0
1528004195,0,0
1528160168,29,81
1528218014,26,29
1528306573,26,32
1528318792,0,0
1528322768,0,0
1528330081,0,0
1528393209,28,32
1528478169,24,0
1528567221,24,32
1528652411,20,30
1528738195,27,0
1528823052,28,49
1528911609,23,0
1530258007,34,229
1530316333,37,0
1530402258,28,0
1530487933,28,0
1530573846,39,0
1530659538,30,0
1530748091,31,0
1530833783,31,0
1530920177,28,30
1531005382,30,27
1531091292,26,23
1531177449,31,31
1531266489,29,61
1531351451,28,0
1531440019,29,62
1531525213,25,27
1531611138,28,24
1531698009,32,34
1531783450,30,33
1531869368,32,0
1531957932,28,60
1532043381,32,0
1532128574,28,27
1532217850,24,55
1532302575,15,0
1532387771,19,32
1532477052,26,54
1532563225,27,32
1532646742,26,0
1532735776,30,54
1532820493,29,0
1532909530,19,38
1532994731,36,23
1533079938,35,0
1533168730,26,45
1533253693,35,32
1533338891,40,0
1533428175,23,49
1533513369,19,0
1533598332,29,38
1533684733,31,36
1533773050,37,31
1533858009,25,31
1533946569,25,56
1534031053,27,0
1534119609,20,54
1534204814,20,31
1534293608,16,34
1534378415,27,27
1534463775,24,28
1534552326,17,20
1534636813,8,23
1534725850,15,20
1534810572,5,22
1534895535,18,0
1534984334,15,43
1535069772,14,19
1535155457,10,0
1535244491,17,21
1535331369,8,12
1535416333,20,11
1535501289,32,17
1535587226,33,0
1535676494,31,26
1535761933,31,10
1535846657,24,0
1535935689,29,19
1536020653,26,13
1536105852,23,24
1536194893,29,66
1536279852,34,0
1536368652,29,58
1536453855,32,28
1536539051,27,0
1536627853,24,56
1536713548,21,18
1536798016,24,0
1536883450,14,35
1536973230,10,32
1537058409,12,30
1537143848,19,25
1537229532,15,32
1537315452,18,23
1537404255,12,36
1537488976,19,8
1537578251,12,11
1537662972,14,0
1537747694,15,15
1537836491,22,33
1537921212,10,15
1538010014,16,15
1538095216,23,18
1538179690,18,0
1538268486,17,30
1538353454,11,19
1538439129,11,0
1538528421,11,40
1538613859,9,0
1538699050,8,19
1538788091,11,36
1538872821,20,0
1538957530,20,11
1539046332,16,22
1539132254,16,0
1539216725,18,10
1539305532,15,16
1539390731,30,0
1539479294,15,36
1539564492,12,15
1539649937,17,0
1539738734,20,34
1539823932,21,17
1539909848,20,0
1539995536,18,46
1540084330,17,16
1540169052,16,0
1540257608,14,30
1540342828,10,0
1540429209,23,40
1540514408,16,0
1540600327,19,14
1540689615,16,33
1540774821,17,18
1540860972,16,0
1540946888,13,19
1541032808,22,15
1541118733,21,18
1541205133,13,35
1541294166,18,0
1541380097,19,29
1541465049,14,0
1541551345,24,14
1541640489,21,37
1541725690,21,19
1541810888,18,14
1541896809,27,0
1541986807,17,42
1542071529,21,17
1542156730,26,23
1542243129,21,0
1542329769,23,25
1542418575,21,37
1542503527,16,29
1542588491,17,0
1542678009,15,45
1542762976,19,23
1542849851,16,23
1542935767,19,18
1543021215,17,0
1543110249,17,34
1543194731,20,17
1543280651,21,0
1543369930,15,29
1543456580,15,18
1543541765,23,18
1543627450,15,15
1543712176,26,0
1543800968,16,41
1543886649,16,23
1543972813,17,0
1544059933,18,14
1544146089,19,21
1544231050,18,21
1544320818,21,35
1544406729,15,20
1544492651,23,18
1544576883,22,0
1544663532,18,20
1544750407,19,14
1544836571,26,39
1544922978,4,0
1545011764,3,41
1545097931,3,22
1545183135,7,24
1545268810,24,18
1545354255,21,0
1545443766,19,27
1545528968,21,2
1545615133,18,0
1545700809,20,3
1545787214,21,7
1545876257,17,47
1545961689,21,12
1546047132,19,0
1546132570,18,16
1546221856,18,36
1546307055,15,21
1546392249,16,21
1546477696,26,0
1546566487,28,20
1546652891,17,43
1546738326,20,20
1546824251,17,0
1546909930,23,18
1546975935,0,16
1546999214,21,23
1547083932,21,25
1547171048,21,0
1547257930,22,40
1547345049,17,18
1547431691,17,19
1547517371,17,0
1547604059,17,43
1547690172,22,21
1547776572,16,24
1547863217,16,20
1547948651,15,0
1548034564,16,14
1548120490,11,14
1548205933,26,20
1548293049,22,16
1548379206,11,18
1548465614,29,15
1548554419,16,27
1548640333,25,18
1548725528,16,17
1548811691,20,27
1548900967,15,19
1548986648,18,22
1549072823,15,20
1549158728,9,0
1549244409,11,20
1549329853,11,16
1549416251,21,20
1549505766,11,19
1549590731,12,19
1549675693,23,16
1549764258,19,13
1549848731,17,0
1549937526,15,35
1550022489,20,10
1550111288,23,11
1550196252,17,21
1550280969,22,22
1550370489,12,19
1550454965,16,22
1550543289,23,19
1550628247,16,20
1550713926,19,0
1550800328,18,19
1550885298,12,16
1550973851,15,14
1551058806,16,11
1551144728,17,16
1551234264,18,35
1551319452,22,17
1551405366,18,20
1551490564,19,13
1551577452,12,0
1551666733,17,25
1551752650,17,21
1551837370,20,0
1551922566,21,19
1552010888,25,45
1552095850,19,17
1552184419,20,16
1552269129,16,0
1552357688,14,36
1552442165,18,0
1552531230,15,38
1552616164,19,18
1552702093,15,18
1552787289,21,0
1552876086,12,43
1552962488,16,14
1553047215,19,20
1553135765,22,0
1553220970,18,29
1553306425,8,0
1553395210,3,31
1553479688,7,0
1553568247,0,40
1553652974,21,20
1553820004,26,24
1553827693,15,10
1553912405,17,3
1554000729,10,7
1554086406,14,1
1554171610,14,0
1554257293,26,18
1554345622,18,18
1554430803,15,22
1554516495,21,10
1554604806,12,11
1554689289,22,15
1554778087,25,32
1554862804,17,22
1554949208,20,0
1555035368,22,21
1555123447,16,28
1555207928,12,0
1555296487,16,45
1555381688,18,0
1555467851,17,40
1555556648,18,19
1555642094,21,23
1555726570,24,0
1555812736,1,28
1555901285,4,0
1555986485,20,20
1556071699,17,14
1556160730,17,21
1556247132,15,39
1556331612,9,3
1556419930,11,4
1556504406,20,0
1556590567,24,27
1556676253,24,19
1556766248,18,34
1556851691,9,0
1556936164,19,11
1557024490,10,11
1557109451,12,39
1557198019,22,24
1557282488,30,15
1557367454,28,0
1557455764,21,13
1557540255,18,19
1557627136,16,11
1557716425,12,30
1557800890,25,0
1557885846,22,23
1557974166,25,54
1558058660,23,0
1558148134,29,38
1558232883,16,17
1558321693,18,22
1558406651,25,18
1558491611,24,26
1558577048,24,0
1558665604,24,38
1558750571,25,0
1558838897,11,36
1558923606,16,0
1559011447,17,25
