DateTime,AddedIPs,RemovedIPs
1554045622,3,0
1554056422,13,0
1554067822,1,9
1554078022,7,9
1554088821,2,6
1554100220,7,4
1554110435,5,3
1554121224,4,10
1554132023,4,17
1554142823,10,0
1554153623,3,11
1554164421,6,8
1554174621,2,8
1554186021,6,26
1554196235,5,11
1554208224,2,10
1554219024,1,19
1554229223,3,8
1554240623,7,7
1554251422,6,8
1554261022,1,26
1554271821,3,19
1554282623,3,29
1554293423,1,32
1554304222,5,76
1554315022,1,0
1554325822,1,12
1554334221,1,7
1554343821,0,25
1554356420,1,45
1554366624,1,0
1554374424,1,29
1554384023,3,0
1554393023,2,23
1554402023,1,11
1554410422,1,0
1554418823,2,11
1554432621,2,13
1554440421,2,13
1554448224,0,12
1554462623,5,11
1554477023,2,15
1554489623,7,18
1554504022,1,8
1554511821,0,25
1554519021,1,23
1554533421,3,0
1554541222,2,19
1554555022,2,21
1554567622,3,10
1554582021,3,15
1554595820,0,20
1554608420,2,18
1554616220,1,14
1554630023,2,8
1554637223,0,13
1554651622,0,10
1554666024,58,15
1554676822,6,13
1554690021,2,12
1554697221,1,7
1554705021,4,11
1554712823,1,13
1554721823,1,9
1554731423,3,0
1554740422,0,4
1554748822,0,6
1554759022,3,5
1554767422,5,14
1554775821,2,7
1554783021,2,8
1554801024,2,8
1554810023,2,8
1554817823,4,11
1554835222,1,7
1554844221,3,10
1554853821,2,9
1554862220,2,18
1554871220,4,0
1554881423,1,11
1554889824,2,16
1554899423,2,13
1554909023,4,11
1554918622,4,15
1554928823,2,6
1554936621,0,7
1554945624,1,0
1554955820,0,9
1554964221,0,12
1554973823,0,20
1554982224,1,17
1554991222,4,14
1555000224,3,0
1555008623,0,13
1555017623,1,9
1555026022,0,11
1555035622,1,14
1555045221,1,0
1555054224,0,19
1555063223,0,22
1555071624,3,21
1555081222,0,12
1555090223,3,9
1555098622,6,0
1555107623,1,13
1555116021,0,8
1555126221,0,14
1555135221,2,17
1555144823,0,18
1555154423,0,14
1555163424,3,0
1555172423,0,13
1555181423,1,9
1555189822,1,13
1555199423,3,10
1555208421,1,0
1555217422,0,8
1555226424,1,9
1555235424,2,13
1555243824,0,10
1555254024,2,15
1555263023,0,11
1555271423,1,3
1555280422,5,0
1555288822,54,5
1555299021,7,8
1555308023,2,9
1555317024,2,14
1555331424,4,11
1555345823,1,7
1555353024,1,11
1555366822,2,0
1555374622,11,21
1555381822,1,0
1555389622,0,2
1555401624,1,4
1555413023,0,10
1555423825,1,8
1555435223,1,13
1555444222,1,4
1555453822,2,10
1555462222,2,11
1555469421,3,11
1555477221,1,11
1555485024,1,0
1555494024,2,14
1555502424,1,11
1555511424,0,7
1555520424,0,17
1555528823,1,0
1555543222,0,4
1555551022,1,23
1555558822,1,5
1555566021,0,11
1555575624,1,0
1555585823,2,7
1555597824,0,13
1555607423,1,18
1555617023,0,10
1555626021,3,12
1555634422,3,0
1555644621,5,10
1555653021,0,10
1555662624,2,10
1555671024,2,8
1555680623,1,11
1555689024,1,16
1555698023,0,9
1555707024,2,0
1555715423,6,3
1555724422,2,10
1555733422,2,8
1555743022,1,9
1555752024,0,12
1555761023,0,23
1555770623,4,39
1555779023,2,17
1555786822,0,10
1555794623,1,0
1555803621,2,18
1555818020,9,12
1555828221,80,42
1555837223,3,46
1555844424,5,0
1555852224,0,13
1555862423,1,9
1555870822,0,11
1555879222,2,13
1555888222,2,10
1555897822,2,16
1555906821,0,30
1555915821,8,0
1555924823,3,22
1555935024,5,13
1555942824,2,15
1555951223,0,9
1555960223,1,6
1555969223,1,13
1555978222,0,4
1555985421,3,4
1555995621,3,9
1556004024,5,10
1556016624,5,7
1556026824,1,9
1556037023,2,7
1556046623,1,22
1556056824,1,9
1556065822,2,12
1556074222,1,14
1556086221,3,25
1556094024,3,19
1556101223,2,0
1556109023,3,32
1556123424,5,13
1556131223,23,3
1556139623,9,29
1556154022,0,16
1556162421,1,33
1556171421,348,0
1556181625,57,23
1556193624,23,22
1556206223,7,32
1556217023,3,22
1556227825,2,21
1556237422,4,0
1556248821,0,11
1556258422,1,47
1556268624,50,24
1556278224,28,22
1556286023,8,0
1556295623,3,13
1556305223,6,16
1556313022,5,15
1556322021,2,17
1556331021,0,11
1556338821,0,28
1556347821,9,0
1556356824,29,0
1556365824,11,13
1556376623,6,0
1556386223,0,17
1556394023,2,20
1556403623,2,12
1556412022,1,0
1556421622,1,15
1556430622,1,14
1556440224,18,11
1556449224,8,11
1556458824,2,17
1556467822,10,8
1556476223,46,12
1556484623,6,0
1556494223,17,17
1556502621,7,13
1556512222,3,6
1556521823,2,12
1556531425,10,11
1556541622,4,0
1556550023,3,9
1556559022,3,9
1556567422,3,15
1556575822,1,0
1556583622,13,8
1556592620,7,10
1556601021,3,0
1556608823,2,15
1556616624,1,6
1556624424,1,12
1556634024,4,0
1556643022,3,14
1556652023,1,23
1556659822,2,5
1556674222,4,0
1556681422,0,23
1556689221,2,28
1556697024,1,0
1556706024,4,9
1556715023,1,20
1556724023,3,15
1556733023,2,0
1556742022,2,10
1556750423,1,8
1556757621,1,5
1556765421,2,10
1556774420,1,0
1556783423,0,11
1556792423,0,18
1556800822,3,15
1556811022,2,7
1556819422,3,0
1556827822,1,8
1556836821,0,15
1556845821,0,13
1556853021,0,16
1556862620,2,10
1556871023,3,0
1556880023,1,13
1556889622,4,5
1556898623,1,10
1556907622,1,7
1556916022,1,8
1556925621,5,0
1556934021,2,10
1556941221,1,16
1556950820,0,15
1556959824,1,5
1556970023,5,9
1556980822,4,8
1556989822,2,6
1556997623,3,6
1557006622,0,6
1557015021,2,14
1557023422,0,6
1557037820,1,0
1557045623,2,26
1557054623,1,11
1557066023,2,0
1557074422,9,6
1557084022,34,7
1557093021,6,5
1557101421,1,0
1557110421,2,3
1557120020,2,8
1557129023,3,10
1557138023,2,8
1557147622,2,10
1557156022,2,5
1557163822,5,0
1557171022,10,5
1557185421,9,0
1557192021,1,11
1557202220,2,6
1557210620,1,17
1557219624,2,6
1557228023,2,0
1557237623,2,6
1557246022,2,3
1557255022,4,2
1557263422,2,0
1557272421,1,4
1557281420,1,4
1557288620,6,0
1557297620,29,6
1557307824,6,18
1557317423,4,6
1557326423,2,6
1557335422,3,7
1557349822,1,7
1557363621,2,3
1557372021,2,10
1557380421,6,7
1557390023,1,3
1557400223,0,12
1557409223,2,10
1557416423,1,7
1557426023,1,4
1557434422,3,4
1557441622,0,7
1557450621,1,15
1557460221,4,12
1557469220,0,13
1557477623,4,6
1557486623,2,11
1557493223,1,8
1557502223,2,16
1557510023,1,2
1557526223,1,4
1557534621,1,3
1557541821,1,8
1557549621,0,7
1557559824,2,11
1557567623,0,9
1557576023,2,8
1557583822,1,9
1557592822,0,6
1557601222,1,8
1557615621,49,2
1557622821,1,2
1557631220,6,10
1557639021,2,6
1557648025,1,9
1557656425,0,4
1557664222,2,7
1557673222,1,11
1557681022,1,2
1557698421,8,4
1557705021,8,3
1557713420,3,1
1557736223,7,3
1557745223,2,3
1557753023,1,6
1557760822,2,2
1557768622,2,6
1557780623,4,3
1557795022,1,4
1557802821,0,9
1557810621,2,3
1557822023,2,4
1557836423,2,3
1557844223,2,13
1557861022,1,7
1557874222,1,5
1557888621,3,6
1557896420,0,14
1557910822,0,14
1557917423,3,25
1557941422,5,9
1557955222,4,7
1557969021,1,3
1557983420,0,13
1557996623,2,33
1558010423,5,27
1558018222,2,19
1558032621,115,4
1558047021,16,9
1558054821,8,13
1558062021,0,1
1558069820,5,10
1558078223,0,4
1558092623,5,6
1558099822,0,19
1558107622,1,6
1558117221,22,5
1558131622,7,8
1558145421,2,7
1558153820,1,11
1558168222,0,5
1558182623,2,18
1558197021,4,13
1558211425,7,8
1558225823,3,4
1558239622,1,7
1558254022,29,6
1558268424,5,11
1558276222,5,10
