DateTime,Entries,UniqueIPs
1554110435,2137,2137
1554121224,2256,2256
1554132023,2225,2225
1554142823,2193,2193
1554153623,2100,2100
1554164421,2118,2118
1554174621,2183,2183
1554186021,2142,2142
1554196235,2239,2239
1554208224,2170,2170
1554219024,2223,2223
1554229223,2217,2217
1554240623,2277,2277
1554251422,2229,2229
1554261022,2146,2146
1554271821,2096,2096
1554282623,2122,2122
1554293423,2071,2071
1554304222,2133,2133
1554315022,2129,2129
1554325822,2063,2063
1554334221,2123,2123
1554343821,2167,2167
1554356420,2065,2065
1554366624,1806,1806
1554374424,1821,1821
1554384023,1836,1836
1554393023,1720,1720
1554402023,1666,1666
1554410422,1659,1659
1554418823,1693,1693
1554432621,1655,1655
1554440421,1627,1627
1554448224,1492,1492
1554462623,1533,1533
1554477023,1504,1504
1554489623,1497,1497
1554504022,1561,1561
1554511821,1603,1603
1554519021,1650,1650
1554533421,1607,1607
1554541222,1528,1528
1554555022,1290,1290
1554567622,1388,1388
1554582021,1342,1342
1554595820,1337,1337
1554608420,1414,1414
1554616220,1405,1405
1554630023,1423,1423
1554637223,1467,1467
1554651622,1405,1405
1554666024,1426,1426
1554676822,1501,1501
1554690021,1528,1528
1554697221,1600,1600
1554705021,1732,1732
1554712823,1729,1729
1554721823,1721,1721
1554731423,1788,1788
1554740422,1781,1781
1554748822,1851,1851
1554759022,1921,1921
1554767422,1965,1965
1554775821,2050,2050
1554783021,2395,2395
1554792620,2458,2458
1554801024,2410,2410
1554810023,2551,2551
1554817823,2593,2593
1554826823,2617,2617
1554835222,2683,2683
1554844221,2784,2784
1554853821,2793,2793
1554862220,2871,2871
1554871220,2908,2908
1554881423,2928,2928
1554889824,2958,2958
1554899423,2915,2915
1554909023,2833,2833
1554918622,2869,2869
1554928823,2900,2900
1554936621,2920,2920
1554945624,2954,2954
1554955820,2906,2906
1554964221,2881,2881
1554973823,2786,2786
1554982224,2765,2765
1554991222,2703,2703
1555000224,2736,2736
1555008623,2788,2788
1555017623,2790,2790
1555026022,2837,2837
1555035622,2853,2853
1555045221,2824,2824
1555054224,2651,2651
1555063223,2540,2540
1555071624,2545,2545
1555081222,2602,2602
1555090223,2663,2663
1555098622,2686,2686
1555107623,2701,2701
1555116021,2754,2754
1555126221,2687,2687
1555135221,2689,2689
1555144823,2620,2620
1555154423,2665,2665
1555163424,2577,2577
1555172423,2525,2525
1555181423,2575,2575
1555189822,2684,2684
1555199423,2724,2724
1555208421,2736,2736
1555217422,2684,2684
1555226424,2666,2666
1555235424,2756,2756
1555243824,2898,2898
1555254024,2861,2861
1555263023,2820,2820
1555271423,2826,2826
1555280422,2841,2841
1555288822,2930,2930
1555299021,2936,2936
1555308023,2878,2878
1555317024,2875,2875
1555331424,3290,3290
1555345823,3515,3515
1555353024,3522,3522
1555366822,3766,3766
1555374622,3886,3886
1555381822,3939,3939
1555389622,3912,3912
1555401624,3601,3601
1555413023,3373,3373
1555423825,3190,3190
1555435223,2945,2945
1555444222,3066,3066
1555453822,2994,2994
1555462222,2944,2944
1555469421,3053,3053
1555477221,3027,3027
1555485024,2985,2985
1555494024,2884,2884
1555502424,3019,3019
1555511424,3007,3007
1555520424,2918,2918
1555528823,2945,2945
1555543222,3106,3106
1555551022,3210,3210
1555558822,3238,3238
1555566021,3273,3273
1555575624,3249,3249
1555585823,3175,3175
1555597824,2870,2870
1555607423,2784,2784
1555617023,2803,2803
1555626021,2852,2852
1555634422,2887,2887
1555644621,2773,2773
1555653021,2719,2719
1555662624,2656,2656
1555671024,2596,2596
1555680623,2497,2497
1555689024,2451,2451
1555698023,2476,2476
1555707024,2511,2511
1555715423,2571,2571
1555724422,2618,2618
1555733422,2650,2650
1555743022,2583,2583
1555752024,2514,2514
1555761023,2493,2493
1555770623,2473,2473
1555779023,2388,2388
1555786822,2467,2467
1555794623,2513,2513
1555803621,2556,2556
1555818020,2539,2539
1555828221,2574,2574
1555837223,2446,2446
1555844424,2492,2492
1555852224,2566,2566
1555862423,2558,2558
1555870822,2495,2495
1555879222,2458,2458
1555888222,2585,2585
1555897822,2648,2648
1555906821,2619,2619
1555915821,2601,2601
1555924823,2560,2560
1555935024,2469,2469
1555942824,2491,2491
1555951223,2583,2583
1555960223,2687,2687
1555969223,2726,2726
1555978222,2777,2777
1555985421,2711,2711
1555995621,2613,2613
1556004024,2535,2535
1556016624,2081,2081
1556026824,1962,1962
1556037023,1980,1980
1556046623,1947,1947
1556056824,1846,1846
1556065822,1764,1764
1556074222,1726,1726
1556086221,2160,2160
1556094024,2272,2272
1556101223,2288,2288
1556109023,2347,2347
1556123424,2376,2376
1556131223,2387,2387
1556139623,2510,2510
1556154022,2768,2768
1556162421,2758,2758
1556171421,3042,3042
1556181625,2996,2996
1556193624,2838,2838
1556206223,2459,2459
1556217023,2411,2411
1556227825,2424,2424
1556237422,2469,2469
1556248821,2414,2414
1556258422,2370,2370
1556268624,2131,2131
1556278224,1972,1972
1556286023,2075,2075
1556295623,2140,2140
1556305223,2201,2201
1556313022,2210,2210
1556322021,2221,2221
1556331021,2240,2240
1556338821,2243,2243
1556347821,2161,2161
1556356824,2199,2199
1556365824,2259,2259
1556376623,2147,2147
1556386223,2038,2038
1556394023,2042,2042
1556403623,2130,2130
1556412022,2139,2139
1556421622,2208,2208
1556430622,2263,2263
1556440224,2233,2233
1556449224,2255,2255
1556458824,2228,2228
1556467822,2212,2212
1556476223,2280,2280
1556484623,2301,2301
1556494223,2255,2255
1556502621,2265,2265
1556512222,2264,2264
1556521823,2235,2235
1556531425,2131,2131
1556541622,2073,2073
1556550023,2061,2061
1556559022,1920,1920
1556567422,1897,1897
1556575822,1963,1963
1556583622,2031,2031
1556592620,2041,2041
1556601021,2064,2064
1556608823,2178,2178
1556616624,2444,2444
1556624424,2517,2517
1556634024,2513,2513
1556643022,2489,2489
1556652023,2502,2502
1556659822,2635,2635
1556674222,2650,2650
1556681422,2709,2709
1556689221,2762,2762
1556697024,2660,2660
1556706024,2551,2551
1556715023,2574,2574
1556724023,2536,2536
1556733023,2514,2514
1556742022,2527,2527
1556750423,2591,2591
1556757621,2628,2628
1556765421,2622,2622
1556774420,2613,2613
1556783423,2619,2619
1556792423,2626,2626
1556800822,2599,2599
1556811022,2507,2507
1556819422,2503,2503
1556827822,2502,2502
1556836821,2502,2502
1556845821,2581,2581
1556853021,2584,2584
1556862620,2460,2460
1556871023,2439,2439
1556880023,2438,2438
1556889622,2431,2431
1556898623,2395,2395
1556907622,2383,2383
1556916022,2452,2452
1556925621,2444,2444
1556934021,2497,2497
1556941221,2568,2568
1556950820,2536,2536
1556959824,2534,2534
1556970023,2368,2368
1556980822,1959,1959
1556989822,1988,1988
1556997623,2256,2256
1557006622,2344,2344
1557015021,2278,2278
1557023422,2304,2304
1557037820,2402,2402
1557045623,2360,2360
1557054623,2353,2353
1557066023,2218,2218
1557074422,2238,2238
1557084022,2359,2359
1557093021,2359,2359
1557101421,2374,2374
1557110421,2465,2465
1557120020,2399,2399
1557129023,2376,2376
1557138023,2354,2354
1557147622,2206,2206
1557156022,2162,2162
1557163822,2288,2288
1557171022,2395,2395
1557185421,2479,2479
1557192021,2569,2569
1557202220,2440,2440
1557210620,2428,2428
1557219624,2404,2404
1557228023,2388,2388
1557237623,2354,2354
1557246022,2332,2332
1557255022,2356,2356
1557263422,2355,2355
1557272421,2346,2346
1557281420,2305,2305
1557288620,2350,2350
1557297620,2382,2382
1557307824,2359,2359
1557317423,2152,2152
1557326423,2112,2112
1557335422,2147,2147
1557349822,2334,2334
1557363621,2380,2380
1557372021,2329,2329
1557380421,2324,2324
1557390023,2247,2247
1557400223,2115,2115
1557409223,2100,2100
1557416423,2233,2233
1557426023,2210,2210
1557434422,2223,2223
1557441622,2274,2274
1557450621,2259,2259
1557460221,2213,2213
1557469220,2103,2103
1557477623,2077,2077
1557486623,2068,2068
1557493223,2109,2109
1557502223,2033,2033
1557510023,2092,2092
1557518422,2107,2107
1557526223,2124,2124
1557534621,2145,2145
1557541821,2139,2139
1557549621,2099,2099
1557559824,2013,2013
1557567623,1974,1974
1557576023,2017,2017
1557583822,2043,2043
1557592822,1968,1968
1557601222,1956,1956
1557615621,2085,2085
1557622821,2170,2170
1557631220,2161,2161
1557639021,2147,2147
1557648025,2017,2017
1557656425,1954,1954
1557664222,1942,1942
1557673222,1811,1811
1557681022,1832,1832
1557690021,1832,1832
1557698421,1853,1853
1557705021,1843,1843
1557713420,1824,1824
1557721821,1836,1836
1557736223,1765,1765
1557745223,1582,1582
1557753023,1472,1472
1557760822,1562,1562
1557768622,1646,1646
1557780623,1907,1907
1557795022,2061,2061
1557802821,1907,1907
1557810621,1870,1870
1557822023,1579,1579
1557836423,1747,1747
1557844223,1835,1835
1557852022,1852,1852
1557861022,1889,1889
1557874222,1799,1799
1557888621,1843,1843
1557896420,1839,1839
1557910822,1815,1815
1557917423,1794,1794
1557941422,1559,1559
1557955222,1607,1607
1557969021,1698,1698
1557983420,1662,1662
1557996623,1680,1680
1558010423,1712,1712
1558018222,1678,1678
1558032621,1737,1737
1558047021,1810,1810
1558054821,1822,1822
1558062021,1831,1831
1558069820,1755,1755
1558078223,1720,1720
1558092623,1779,1779
1558099822,1780,1780
1558107622,1782,1782
1558117221,1619,1619
1558131622,1617,1617
1558145421,1818,1818
1558153820,1802,1802
1558168222,1669,1669
1558182623,1688,1688
1558197021,1628,1628
1558211425,1745,1745
1558225823,1815,1815
1558239622,1876,1876
1558254022,1826,1826
1558268424,1879,1879
1558276222,1913,1913
1558299025,1913,1913
1558306221,1969,1969
1558314020,1972,1972
1558327820,1973,1973
1558336222,1926,1926
1558343422,1871,1871
1558352422,1858,1858
1558366221,1692,1692
1558380621,1761,1761
1558394420,1895,1895
1558402220,1901,1901
