DateTime,AddedIPs,RemovedIPs
1554871230,17,29
1554881428,17,15
1554889829,16,18
1554899428,21,18
1554909029,23,12
1554918629,19,19
1554928829,15,16
1554936628,17,16
1554945633,13,19
1554955827,17,15
1554964229,19,19
1554973828,16,16
1554982229,13,13
1554991233,15,20
1555000229,20,17
1555008628,21,18
1555017629,16,18
1555026028,16,15
1555035629,17,15
1555045234,12,19
1555054228,18,18
1555063228,15,17
1555071629,15,13
1555081228,18,15
1555090229,21,21
1555098628,19,15
1555107629,14,17
1555116028,17,19
1555126229,12,19
1555135228,18,13
1555144843,19,17
1555154429,15,12
1555163429,12,17
1555172429,13,15
1555181430,16,15
1555189829,14,17
1555199430,17,14
1555208428,18,19
1555217429,17,14
1555226428,17,21
1555235429,21,19
1555243829,18,16
1555254030,12,17
1555263029,20,13
1555271430,16,13
1555280429,21,17
1555288829,18,16
1555299029,16,21
1555308030,18,17
1555317029,17,15
1555323630,19,17
1555331430,17,18
1555338030,13,0
1555345829,23,15
1555353030,14,17
1555360829,14,16
1555366830,10,19
1555374639,16,0
1555381831,18,17
1555389631,16,15
1555401630,15,19
1555413029,18,37
1555423831,17,15
1555435237,20,37
1555444229,14,14
1555453834,17,13
1555462229,22,30
1555469436,13,22
1555477229,21,20
1555485029,21,0
1555494029,16,17
1555502429,14,16
1555511429,16,17
1555520431,14,0
1555528830,18,18
1555536629,15,15
1555543229,18,15
1555551030,19,22
1555558833,16,14
1555566029,14,0
1555575629,15,39
1555585829,11,16
1555597830,14,38
1555607429,18,11
1555617030,20,17
1555626029,19,16
1555634429,11,16
1555644629,14,14
1555653029,17,34
1555662628,14,12
1555671028,15,13
1555680628,20,0
1555689029,12,18
1555698029,23,14
1555707029,12,17
1555715429,19,15
1555724428,16,7
1555733428,13,15
1555743029,14,15
1555752029,18,17
1555761029,12,14
1555770629,15,20
1555779029,11,16
1555786833,16,18
1555794630,13,0
1555803629,15,30
1555810828,8,0
1555818028,13,20
1555828229,16,15
1555837228,22,14
1555844429,17,21
1555852229,17,17
1555862429,15,10
1555870829,18,13
1555879228,13,24
1555888230,19,0
1555897829,18,34
1555906828,22,20
1555915828,19,9
1555924828,15,17
1555935029,14,17
1555942829,23,20
1555951229,14,21
1555960228,18,18
1555969229,19,18
1555978229,16,15
1555985428,14,0
1555995628,19,37
1556004028,16,19
1556016628,19,13
1556026828,13,12
1556037028,15,17
1556046628,16,13
1556056829,16,38
1556065828,21,19
1556074229,9,17
1556080827,18,0
1556086228,13,14
1556094028,22,19
1556101228,20,0
1556109028,12,18
1556116229,14,16
1556123429,21,0
1556131228,18,19
1556139629,16,13
1556146828,14,18
1556154029,18,0
1556162428,13,30
1556171428,19,15
1556181630,16,15
1556193629,16,37
1556206228,18,35
1556217029,17,15
1556227831,17,13
1556237433,17,35
1556248829,20,34
1556258429,18,21
1556268629,17,17
1556278229,17,0
1556286029,19,17
1556295630,17,19
1556305229,14,13
1556313029,23,21
1556322028,21,0
1556331029,17,14
1556338828,14,19
1556347829,19,13
1556356829,17,20
1556365830,19,20
1556376629,12,19
1556386230,21,16
1556394029,18,11
1556403630,17,22
1556412029,14,21
1556421629,15,16
1556430629,16,21
1556440229,16,13
1556449230,20,18
1556458830,19,16
1556467829,19,14
1556476230,17,12
1556484630,15,16
1556494230,14,17
1556502629,18,19
1556512230,13,19
1556521829,17,19
1556531431,14,15
1556541628,20,15
1556550029,13,13
1556559029,20,14
1556567429,15,19
1556575829,15,16
1556583629,13,20
1556592629,19,18
1556601038,20,11
1556608832,14,15
1556616629,16,18
1556624429,13,0
1556634030,14,18
1556643028,18,18
1556652030,18,16
1556659828,15,13
1556667629,12,12
1556674229,14,20
1556681429,21,17
1556689228,20,16
1556697029,21,17
1556706029,16,19
1556715028,16,15
1556724028,16,14
1556733028,13,14
1556742028,16,13
1556750429,13,16
1556757628,14,16
