DateTime,AddedIPs,RemovedIPs
1536552302,0,1
1536552602,1,0
1536557701,0,1
1536558002,1,0
1536598502,0,1
1536599102,1,0
1536603902,0,1
1536604202,1,0
1536664802,0,1
1536760502,1,0
1536880202,0,1
1536881402,1,0
1536943802,0,1
1536944102,1,0
1537003802,1,1
1537004402,0,1
1537004702,2,1
1537021802,0,1
1537022402,1,0
1537332602,1,1
1537333202,1,0
1537594201,1,1
1537595103,1,1
1537774502,0,1
1537775102,1,0
1537778702,0,1
1537947602,1,0
1537947902,0,1
1537948202,1,0
1537952402,0,1
1537953002,1,0
1538049902,1,1
1538051402,1,1
1538144702,1,1
1538206802,1,1
1538208302,1,0
1538646302,1,1
1538647202,1,1
1538771102,1,1
1538772001,1,0
1539041401,1,1
1539352202,0,1
1539352502,1,0
1539389102,0,1
1539588602,1,1
1539589202,1,1
1539604802,1,1
1539835802,2,0
1539836402,9,0
1539836702,1,0
1539837903,1,0
1539840902,0,1
1539841503,0,2
1539842102,0,9
1539842402,0,1
1539939002,1,1
1539939902,1,0
1539994202,0,1
1540180201,1,1
1540180802,1,1
1540491902,1,1
1540620002,1,1
1540620902,1,0
1540857602,0,1
1540934402,1,1
1541228403,1,1
1541229002,1,1
1541376302,0,1
1542091502,1,1
1542092102,1,0
1542357902,1,1
1542358802,1,0
1542585602,0,1
1542873302,1,1
1542874202,1,0
1543276802,0,1
1544173502,0,1
1544173802,1,0
1544403602,1,1
1544404202,1,0
1544745603,0,1
1545004802,0,1
1545160202,0,1
1545160802,1,0
1545253203,1,1
1545253802,1,0
1545288303,1,1
1545288902,1,0
1545361802,1,1
1545362702,1,0
1545412802,0,1
1545413402,1,0
1545523202,0,1
1545984002,0,1
1545984302,1,0
1547079002,0,1
1547856003,0,1
1547942402,0,1
1548029102,0,1
1548062702,1,1
1548063602,1,0
1548297002,1,1
1548297902,1,0
1549003202,1,1
1549004102,1,0
1549044902,0,1
1549045502,1,0
1549184703,0,1
1549185002,1,0
1550280302,1,1
1550281202,1,0
1550707203,0,1
1550966402,0,1
1551206403,1,1
1551207302,1,1
1551227102,1,1
1551228303,1,1
1551230702,1,1
1551231603,1,1
1551265802,1,1
1551266702,1,0
1551273002,1,1
1551273902,1,0
1551302702,1,1
1551303902,1,0
1551329102,1,1
1551330002,1,0
1551338702,1,1
1551339902,1,1
1551342602,1,1
1551343502,1,0
1551365702,1,1
1551366602,1,0
1551446702,1,1
1551447602,1,1
1551454202,1,1
1551454802,1,1
1551487502,1,1
1551488102,1,0
1551492002,1,1
1551492902,1,0
1551525001,1,1
1551525902,1,1
1551572702,1,1
1551573602,1,0
1551606302,0,1
1551606902,1,0
1551657902,0,1
1551683102,1,1
1551684302,1,0
1551716701,1,1
1551717602,1,0
1551810302,0,1
1551811202,1,0
1551822002,1,1
1551822902,1,1
1551920103,1,1
1551920702,1,0
1551925502,1,1
1551926702,1,1
1552004702,1,1
1552006202,1,1
1552042503,1,1
1552043702,1,0
1552139102,1,1
1552139702,1,0
1552175702,1,1
1552176602,1,0
1552190102,1,1
1552190702,1,0
1552193703,1,1
1552194302,1,0
1552300801,1,1
1552301702,1,1
1552325102,1,1
1552326002,1,1
1552329302,1,1
1552329602,1,0
1552345202,1,1
1552345502,1,0
1552374003,1,1
1552374602,1,0
1552422302,1,1
1552423502,1,0
1552519502,0,1
1552520402,1,0
1552555802,1,1
1552556402,1,1
1552751703,1,1
1552752301,1,1
1552837202,1,1
1552838402,1,1
1552948202,1,1
1552948802,1,0
1552953902,0,1
1553029502,1,0
1553088302,1,1
1553089502,1,1
1553095502,1,1
1553096702,1,1
1553132402,1,1
1553133302,1,1
1553249402,1,1
1553250302,1,0
1553299802,1,1
1553300702,1,0
1553374202,0,1
1553374502,1,0
1553374802,0,1
1553375402,1,0
1553403302,1,1
1553404202,1,0
1553432102,1,1
1553433002,1,1
1553435702,1,1
1553436602,1,1
1553495102,0,1
1553496302,1,0
1553546702,1,1
1553547602,1,1
1553636703,1,1
1553637902,1,1
1553646302,0,1
1553647502,1,0
1553649002,0,1
1553649302,1,0
1553659203,1,1
1553660103,1,0
1553681103,1,1
1553682302,1,1
1553748002,1,1
1553749202,1,0
1553793302,0,1
1553793602,1,0
1553833802,0,1
1553834402,1,0
1553852702,1,1
1553853302,1,1
1553874302,1,1
1553874602,0,1
1553874902,1,0
1553883002,1,1
1553904003,0,3
1553990402,0,3
1554029402,1,1
1554030002,1,1
1554057002,1,1
1554058202,1,0
1554155102,1,1
1554155702,1,1
1554163502,0,2
1554171902,1,1
1554173102,1,1
1554179402,1,1
1554180302,1,0
1554249902,0,1
1554256502,1,1
1554257402,1,1
1554306002,1,1
1554307203,1,0
1554308102,1,0
1554308402,3,0
1554309002,1,0
1554309302,8,0
1554336003,0,2
1554375902,1,1
1554377102,1,1
1554419403,1,1
1554422702,1,1
1554423002,1,0
1554450002,1,1
1554451202,1,0
1554476702,0,1
1554477302,1,0
1554479702,0,1
1554480902,1,0
1554500102,1,1
1554501002,1,1
1554509102,1,1
1554510902,1,1
1554536402,1,1
1554537302,1,1
1554549902,1,1
1554551102,1,1
1554553503,1,1
1554554702,1,1
1554566102,0,1
1554567002,1,0
1554569103,1,1
1554569702,1,0
1554595502,0,1
1554642302,1,1
1554642602,1,1
1554645302,1,1
1554645903,1,0
1554681602,0,1
1554768003,0,2
1554792002,1,1
1554793202,1,1
1554793802,1,1
1554854702,0,2
1554882002,1,1
1554883502,1,1
1554941102,0,2
1554950702,1,1
1554951602,1,1
1555027502,0,2
1555028702,1,1
1555029902,1,1
1555059602,1,1
1555060202,1,1
1555088102,0,1
1555088402,1,0
1555097403,1,1
1555098303,1,1
1555129502,1,1
1555130702,1,1
1555148702,1,1
1555149301,1,1
1555227602,0,1
1555228803,1,0
1555293302,1,1
1555294502,1,1
1555299603,1,1
1555300502,1,0
1555417502,0,1
1555418402,1,0
1555424703,1,1
1555425902,1,1
1555545603,0,1
1555612802,1,1
1555613702,1,0
1555632002,0,1
1555676702,1,1
1555677902,1,1
1555692603,0,1
1555693203,1,0
1555693502,0,1
1555694103,1,0
1555695302,0,1
1555695902,1,0
1555696202,0,1
1555697102,1,0
1555742702,1,1
1555743903,1,1
1555749902,1,1
1555750502,1,1
1555890901,1,1
1555891202,0,1
1555891503,1,1
1555977602,0,1
1556064002,0,1
1556081102,0,1
1556082002,1,0
1556174703,0,1
1556175903,1,0
1556202602,1,1
1556203503,1,0
1556323503,0,1
1556367902,1,1
1556369102,1,0
1556387402,0,1
1556387702,1,0
1556388602,0,1
1556388902,1,0
1556393402,0,1
1556394302,1,0
1556409902,0,1
1556422202,0,1
1556422802,1,0
1556438402,1,1
1556439002,1,1
1556668802,0,1
1556697602,1,1
1556698202,1,1
1556709902,1,1
1556711102,1,0
1556727002,1,1
1556727902,1,1
1556762403,1,1
1556763303,1,1
1556791501,1,1
1556793003,1,1
1556836202,1,1
1556837102,1,0
1556841602,0,1
1556916902,1,1
1556917502,1,1
1556928302,0,1
1556941202,1,1
1556942403,1,1
1556944802,1,1
1556946002,1,1
1556987102,1,1
1556988302,1,1
1557008102,1,1
1557008702,1,1
1557014403,0,1
1557081603,1,1
1557082502,1,1
1557100803,0,1
1557111902,1,1
1557112203,1,1
1557119102,1,1
1557119402,1,1
1557187202,0,1
1557188701,1,1
1557189903,1,0
1557218702,1,1
1557219602,1,1
1557260702,1,1
1557261902,1,0
1557273602,0,1
1557304802,1,1
1557306302,1,0
1557323402,1,1
1557324002,1,1
1557363602,1,1
1557363902,1,1
1557368702,1,1
1557369603,1,0
1557512102,0,1
1557512402,1,0
1557599102,1,1
1557600002,1,1
1557616203,0,1
1557616502,1,0
1557803703,1,1
1557804902,1,1
1557877202,1,1
1557878102,1,1
1557921902,1,1
1557922202,1,0
1557945902,1,1
1557946503,1,0
1557963003,1,1
1557963902,1,0
1557965102,0,1
1557977402,1,1
1557978302,1,1
1557978902,1,1
1557985502,1,1
1557986702,1,1
1557989102,1,1
1557989703,1,1
1557990302,1,1
1557991502,1,0
1557995402,1,1
1557996303,1,0
1558051502,0,1
1558052702,1,0
1558114802,2,1
1558116002,1,0
1558120203,1,1
1558121402,1,1
1558141203,1,1
1558141802,1,1
1558159202,1,1
1558160102,1,0
1558161903,1,1
1558162802,1,1
1558214103,0,1
1558214402,1,0
1558215902,1,1
1558217103,1,0
1558224302,0,1
1558482302,1,1
1558483502,1,1
1558526403,1,1
1558527002,1,1
1558561202,1,1
1558562403,1,1
1558581903,0,1
1558582802,1,0
1558608302,0,1
1558674002,1,0
1558674602,0,1
1558674902,1,0
1558700102,0,1
1558701002,1,0
1558791602,0,1
1558791902,1,0
1558828803,0,1
1558832402,1,1
1558833002,1,0
1558860002,1,1
1558860902,1,0
1558910402,1,1
1558911302,1,1
1558924202,0,1
1558925703,1,0
1558926002,0,1
1558926903,1,0
1558932603,0,1
1558934402,1,0
1558995902,1,1
1558997103,1,0
1559001602,0,1
1559004902,1,1
1559005803,1,1
