DateTime,AddedIPs,RemovedIPs
1536627983,28,21
1536671171,37,16
1536714383,19,17
1536757572,15,24
1536800768,19,18
1536843977,19,25
1536887172,19,28
1536930381,13,30
1536973573,26,22
1537016769,22,25
1537059976,13,23
1537103170,15,25
1537146370,17,20
1537189564,16,24
1537232768,15,16
1537275973,17,19
1537319170,17,16
1537362371,21,19
1537405561,32,14
1537448762,31,30
1537491963,22,21
1537535165,20,27
1537578354,12,18
1537621558,31,21
1537664754,16,23
1537707954,19,23
1537751159,25,12
1537794351,14,19
1537837551,35,16
1537880750,16,15
1538081457,122,87
1538780758,188,257
1538824095,11,29
1538867148,32,22
1538909512,12,30
1538952652,28,18
1538995976,30,26
1539039051,68,25
1539082253,34,20
1539125456,21,14
1539168767,16,28
1539211857,12,22
1539255062,15,18
1539298245,21,14
1539341512,21,85
1539384652,21,14
1539427906,19,24
1539471030,18,19
1539514292,15,21
1539557429,15,15
1539600722,15,15
1539643829,11,18
1539687027,26,20
1539730224,17,9
1539773431,13,21
1539816624,24,15
1539859876,20,19
1539903027,17,9
1539946312,22,17
1539989418,23,23
1540032639,14,22
1540075824,13,20
1540119102,13,17
1540162219,15,15
1540205484,17,25
1540248618,17,15
1540291861,14,17
1540335027,32,6
1540378320,15,14
1540421435,24,13
1540439432,10,4
1540526729,50,45
1540570820,25,19
1540614038,14,28
1540657231,16,26
1540700431,23,22
1540743638,22,31
1540786828,8,20
1540830039,17,23
1540873226,17,14
1540916431,16,19
1540959633,23,9
1541002843,21,20
1541046035,21,8
1541089236,31,22
1541132428,22,17
1541175623,21,28
1541218828,13,15
1541262034,16,22
1541305235,13,28
1541348434,13,22
1541391636,11,10
1541434836,32,13
1541478045,14,27
1541521251,20,33
1541564447,12,14
1541607633,18,15
1541650842,33,15
1541694035,18,23
1541737245,19,16
1541780443,18,12
1541823647,20,15
1541866841,19,20
1541910046,19,18
1541953240,22,24
1541996433,13,17
1542039646,33,23
1542082839,23,13
1542125148,20,15
1542168336,20,17
1542211541,18,18
1542254741,39,17
1542297950,22,27
1542341146,18,12
1542384342,22,19
1542427548,19,20
1542470980,23,24
1542513953,23,16
1542557151,19,23
1542600340,20,16
1542643555,20,20
1542686753,12,21
1542729958,22,35
1542773154,16,16
1542816345,15,26
1542859547,14,13
1542902745,20,23
1542945935,18,11
1542989146,14,17
1543032344,16,19
1543075557,10,25
1543118746,19,20
1543161949,27,24
1543205150,5,14
1543248355,20,19
1543291555,37,13
1543334751,20,17
1543377962,20,11
1543420253,23,21
1543463459,19,16
1543505753,23,28
1543548964,28,21
1543592162,13,29
1543635351,22,10
1543678570,14,16
1543721749,13,10
1543764951,18,21
1543808160,8,9
1543851353,15,19
1543894567,14,15
1543937754,24,15
1543980960,18,15
1544024161,21,15
1544067354,18,19
1544110544,15,18
1544153749,15,15
1544196952,15,28
1544240157,25,18
1544283371,28,25
1544326557,17,8
1544369756,22,22
1544412945,15,8
1544456156,15,17
1544499352,34,12
1544542565,23,24
1544585764,14,13
1544628963,29,28
1544672154,30,15
1544715372,20,27
