DateTime,AddedIPs,RemovedIPs
1558597322,7,0
1558598523,3,15
1558599123,2,0
1558599722,1,0
1558600322,3,4
1558600922,1,48
1558602122,4,5
1558602723,20,0
1558603322,2,3
1558604522,4,33
1558605722,18,10
1558606923,4,3
1558608123,1,5
1558608722,6,0
1558609322,12,7
1558610522,2,9
1558611723,2,3
1558612922,0,11
1558613522,1,0
1558614122,4,2
1558616522,1,0
1558617122,2,9
1558617722,0,5
1558618922,5,6
1558619522,1,3
1558620122,20,4
1558621323,37,6
1558622522,30,0
1558623122,30,3
1558623723,31,0
1558624323,3,3
1558624922,3,0
1558625523,2,1
1558626122,2,5
1558627322,4,2
1558629122,3,10
1558629723,2,50
1558630923,0,46
1558631523,4,0
1558632123,1,0
1558633322,1,10
1558633922,0,4
1558634523,4,0
1558635122,9,2
1558635722,2,0
1558636322,2,5
1558636922,1,5
1558637522,2,0
1558638123,4,4
1558638722,4,0
1558639322,2,1
1558640522,3,0
1558641123,0,4
1558641722,0,11
1558642923,0,6
1558644122,3,0
1558645322,4,75
1558645922,1,0
1558646522,3,4
1558647723,5,1
1558648922,4,11
1558649522,3,0
1558650123,3,0
1558651322,10,0
1558651923,0,3
1558652522,1,2
1558653122,7,0
1558653722,2,7
1558654922,3,10
1558656125,1,8
1558657322,1,0
1558658523,0,5
1558659122,3,0
1558659722,0,3
1558660922,8,5
1558661523,4,1
1558662122,2,6
1558662722,5,0
1558663322,1,0
1558664522,0,6
1558665722,1,77
1558666923,5,65
1558667523,3,0
1558668123,1,73
1558668723,1,0
1558669323,4,1
1558669922,8,0
1558670522,2,0
1558671122,4,40
1558671722,4,4
1558672322,1,0
1558672922,47,3
1558673522,4,2
1558674122,4,5
1558674723,4,0
1558675323,2,0
1558675923,1,8
1558676522,2,0
1558677723,2,8
1558678922,11,3
1558679522,1,4
1558680125,7,4
1558681322,4,7
1558681922,5,53
1558682522,1,0
1558683722,0,52
1558684322,0,28
1558684922,2,0
1558685522,7,4
1558686122,2,9
1558686723,5,0
1558687322,3,21
1558688523,2,5
1558689722,5,26
1558690923,1,0
1558692122,0,7
1558693322,1,0
1558694522,3,20
1558695722,5,5
1558696323,7,12
1558696922,3,0
1558698122,2,12
1558699323,1,0
1558699923,3,0
1558700522,0,6
1558701723,2,18
1558702322,0,5
1558703523,1,5
1558704122,1,2
1558705322,2,0
1558706522,3,6
1558707122,1,4
1558707722,1,5
1558708322,37,0
1558708922,20,0
1558710123,33,4
1558710723,12,5
1558711322,1,8
1558712522,2,2
1558713723,0,13
1558714922,3,3
1558715522,2,37
1558716122,2,0
1558717323,1,0
1558718523,2,6
1558719122,0,40
1558720323,3,1
1558720923,4,7
1558722123,4,8
1558722723,4,0
1558723322,39,15
1558725722,2,8
1558726322,2,0
1558726923,1,0
1558728122,2,58
1558728722,24,2
1558729922,2,6
1558730523,3,0
