DateTime,AddedIPs,RemovedIPs
1558437722,0,1
1558438922,0,8
1558440122,0,1
1558441322,1,4
1558442522,1,0
1558443722,4,8
1558444322,10,0
1558444922,4,1
1558446122,3,0
1558447322,1,1
1558450923,31,1
1558452122,8,4
1558453322,1,0
1558454522,11,10
1558455723,1,0
1558456922,2,3
1558458123,2,0
1558459323,3,0
1558460522,3,4
1558461722,3,0
1558464122,9,0
1558465323,2,5
1558466522,2,0
1558467722,11,2
1558468322,2,0
1558468922,1,4
1558469522,2,0
1558470123,0,6
1558472522,1,2
1558473723,9,3
1558474922,3,3
1558476122,8,3
1558477322,0,2
1558479722,0,4
1558483323,34,5
1558483922,3,3
1558484522,0,1
1558485722,6,4
1558486922,0,7
1558489322,0,1
1558491722,0,2
1558494122,10,1
1558495322,4,2
1558496522,1,0
1558497722,1,2
1558498322,1,0
1558500122,1,6
1558501322,4,15
1558502522,1,0
1558503722,5,8
1558504922,5,4
1558505522,1,0
1558506122,1,0
1558507323,2,4
1558507922,0,2
1558508522,2,0
1558509122,3,1
1558509722,2,1
1558510922,3,2
1558511522,2,0
1558512122,1,0
1558513321,2,3
1558515122,1,1
1558515722,2,1
1558516923,2,0
1558518122,3,0
1558518722,0,1
1558519323,1,0
1558520522,0,4
1558521722,0,1
1558522922,0,3
1558525322,2,2
1558525922,0,3
1558527122,0,1
1558528922,3,7
1558530121,5,2
1558530723,22,0
1558531322,0,6
1558532522,2,11
1558533722,3,1
1558534922,1,2
1558537323,1,0
1558537922,7,0
1558538522,1,4
1558539722,0,5
1558540922,2,0
1558541522,10,3
1558542122,10,0
1558542722,11,4
1558543322,7,3
1558544522,16,0
1558545123,1,8
1558545722,2,0
1558546922,1,1
1558548122,1,0
1558549922,16,5
1558551122,1,8
1558551722,0,1
1558552322,2,0
1558554122,4,3
1558554722,2,0
1558557722,2,11
1558558922,4,8
1558559522,43,0
1558560122,24,0
1558561322,3,9
1558563722,0,1
1558566122,0,14
1558567322,1,0
1558569723,2,4
1558570322,6,0
1558570922,9,0
1558572121,2,0
1558572722,0,7
1558573321,0,1
1558574523,1,0
1558575722,1,7
1558576922,1,0
1558578122,3,11
1558579322,12,3
1558580522,1,0
1558581722,5,4
1558584722,1,10
1558585322,1,22
1558586522,0,3
1558587722,3,1
1558588322,1,12
1558588922,1,0
1558589523,1,2
1558590122,1,3
1558591322,3,2
1558591923,2,0
1558592522,1,3
1558593122,1,0
1558593722,1,5
1558594922,5,0
1558596122,4,4
1558596722,0,2
1558597322,1,0
1558598522,3,0
1558599722,1,0
1558600922,2,2
1558601522,3,0
1558602122,0,4
1558603322,3,5
1558604522,4,0
1558605722,0,1
1558606922,1,0
1558609322,0,1
1558612922,1,0
1558614122,0,1
1558615323,1,3
1558616522,2,1
1558617122,0,1
1558617722,0,1
1558618922,1,0
1558620122,4,1
1558621323,1,0
1558622522,0,1
1558623122,0,6
1558623722,1,0
1558624922,0,6
1558626722,8,0
1558627322,5,0
1558629122,3,0
1558629722,3,0
1558630923,3,9
1558632122,5,0
1558632722,2,2
1558633322,4,3
1558636922,34,0
1558638122,5,0
1558639322,1,1
1558640522,5,0
1558641722,2,7
1558644122,1,0
1558645322,0,4
1558646522,24,3
1558647722,3,3
1558648922,1,1
1558649522,2,0
1558650122,1,0
1558652522,2,1
1558653122,1,0
1558653722,0,1
1558654922,0,1
1558656124,39,8
1558657322,2,0
1558658522,4,0
1558659722,1,0
1558662122,0,1
1558663322,1,0
1558664522,1,0
1558665722,3,1
1558666322,3,0
1558668122,9,0
1558669322,8,0
1558670522,0,7
1558671722,0,3
1558672922,3,0
1558674122,1,11
1558674722,1,2
1558676522,10,0
1558677722,2,1
1558678922,2,2
1558680124,1,4
1558681322,2,0
1558681922,2,0
1558682522,1,0
1558683722,0,5
1558684921,19,10
1558685522,1,1
1558686122,2,2
1558687322,4,1
1558688523,3,1
1558689722,1,4
1558690922,2,0
1558692122,0,3
1558697522,0,1
1558699323,0,1
1558699922,1,0
1558700522,0,1
1558701723,1,8
1558703522,16,0
1558705322,1,1
1558706522,3,0
1558707722,0,2
1558710123,1,4
1558711322,0,15
1558712522,0,6
1558713722,11,6
1558714922,2,0
1558715522,0,12
1558716122,3,7
1558716722,0,4
1558718522,1,3
1558719122,1,3
1558719722,1,0
1558720922,1,4
1558722122,0,2
1558722722,1,0
1558723322,3,0
1558724521,3,0
1558726322,1,0
1558728122,0,1
1558729322,1,0
1558730523,0,5
1558731722,1,1
1558732922,6,0
1558734722,3,4
1558735322,1,0
1558736521,1,0
1558738322,2,18
1558738922,0,2
1558740122,0,1
1558741322,1,0
1558742523,38,3
1558743123,3,0
1558743722,1,9
1558744922,12,0
1558746122,2,13
1558746722,2,2
1558747322,1,0
1558748522,1,4
1558749722,1,0
1558750323,0,1
1558750923,2,1
1558752122,4,0
1558752722,11,1
1558753322,1,4
1558754522,1,0
1558755722,1,2
1558756922,2,0
1558757523,0,2
1558758122,1,2
1558759322,1,0
1558760522,4,1
1558761722,3,0
1558762922,1,2
1558764122,0,2
1558765322,5,7
1558767722,1,1
1558771322,0,12
1558773721,5,8
1558774322,0,2
1558774922,2,1
1558776122,15,1
1558777322,1,0
1558777922,2,1
1558778522,0,1
1558780922,1,3
1558782722,1,0
1558783322,0,2
1558785122,0,3
1558785722,0,2
1558787522,0,6
1558788122,1,0
1558788722,0,1
1558789322,1,2
1558790522,1,5
1558791722,0,2
1558792322,2,0
1558792922,1,0
1558794121,1,0
1558795322,0,4
1558796522,1,0
1558797122,1,0
1558797722,2,5
1558798922,21,0
1558799522,43,0
1558800122,1,0
1558801322,6,0
1558801922,7,0
1558802522,5,0
1558803122,2,0
1558803722,2,4
1558804922,5,0
1558805522,3,2
1558806122,1,0
1558807321,0,1
1558809722,23,0
1558810922,2,0
1558812122,2,0
1558813322,4,8
1558814522,5,0
1558818122,0,2
1558819322,46,0
1558819922,11,0
1558820522,0,20
1558821722,4,0
1558822322,1,0
1558825922,2,0
1558830122,8,5
1558831322,9,0
1558831922,4,0
1558832523,2,0
1558833122,1,0
1558834922,2,0
1558836122,1,1
1558838522,2,9
1558839122,46,0
1558839722,6,0
1558840923,6,1
1558841522,6,0
1558842122,2,0
1558844522,6,0
1558845122,2,0
1558845723,1,3
1558846922,1,3
1558848122,1,0
1558848722,2,3
1558849322,33,0
1558850522,2,5
1558851722,3,0
1558852322,1,0
1558852922,1,0
1558854123,6,6
1558855322,5,0
1558855922,1,0
1558856523,2,27
1558858322,0,20
1558858922,0,10
1558859523,21,0
1558860123,1,0
1558861322,1,7
1558861922,1,4
1558862522,3,0
1558863722,1,2
1558864922,2,0
1558865522,0,10
1558866122,2,0
1558867322,0,24
1558868521,0,5
1558873323,1,7
1558875722,2,0
1558876922,13,0
1558877523,1,0
1558878122,1,0
1558879322,3,0
1558880522,2,0
1558881122,3,0
1558882922,1,3
1558884122,2,0
1558885322,1,0
1558887722,3,1
1558888922,1,0
1558890122,1,3
1558892522,2,3
1558893123,1,0
1558893723,0,2
1558894922,0,3
1558896123,39,8
1558896722,11,0
1558897322,2,0
1558899723,2,0
1558900322,0,11
1558905122,0,1
1558905722,1,0
1558906922,2,1
1558908122,1,0
1558909322,2,3
1558909922,1,0
1558910522,0,10
1558911722,0,4
1558912922,1,0
1558913521,0,1
1558915323,1,8
1558915922,8,0
1558917122,1,14
1558917722,1,0
1558918321,1,0
1558918923,0,2
1558920123,2,6
1558923722,1,0
1558924322,2,0
1558926122,16,4
1558927322,1,3
1558928522,0,16
1558929721,0,8
1558930922,1,0
1558932122,1,0
1558933322,1,0
1558934522,0,4
1558935722,22,11
1558936922,0,8
1558937522,1,0
1558938123,1,0
1558939323,3,0
1558940522,5,2
1558941721,1,0
1558944721,0,1
1558945322,30,0
1558945922,1,0
1558947122,1,0
1558947722,3,0
1558948322,1,0
1558948922,1,0
1558951322,0,2
1558959123,2,0
1558959723,0,1
1558960922,0,4
1558962122,1,1
1558963322,1,1
1558966323,2,0
1558969922,1,0
1558971722,4,2
1558972922,0,2
1558974722,3,1
1558975323,0,1
1558977722,1,0
1558978923,1,0
1558980122,1,1
1558981922,13,1
1558983722,1,0
1558984922,2,2
1558986723,1,0
1558987922,3,0
1558990322,1,2
1558991523,5,10
1558992122,0,5
1558993322,1,0
1558994522,3,2
1558995722,3,5
1558996922,1,0
1558998122,4,0
1558999322,1,2
1559000522,0,2
1559001723,30,0
1559002923,3,9
1559003522,2,4
1559005322,3,0
1559006522,1,0
1559007122,1,0
1559007722,1,0
1559008322,0,1
1559010122,0,13
1559011322,20,0
1559012523,47,3
1559013722,6,0
1559014923,2,0
1559016122,0,7
1559016722,1,0
1559017322,0,32
1559019723,6,9
1559020922,40,0
1559022122,22,0
1559023322,3,0
1559024523,0,2
1559026922,2,8
1559027522,21,1
1559028122,4,0
1559029321,0,7
1559030522,3,0
1559031721,19,4
1559032923,1,0
1559034122,11,0
1559035323,1,0
1559036522,2,4
1559037122,1,2
1559037721,0,3
