DateTime,AddedIPs,RemovedIPs
1556934302,177,0
1556937902,186,0
1556941502,159,0
1556945102,230,0
1556948702,244,0
1556952302,203,0
1556955902,212,0
1556959502,215,0
1556963102,224,0
1556966702,188,0
1556970301,189,0
1556973902,181,0
1556977502,157,0
1556981102,157,0
1556984702,160,0
1556988302,186,0
1556991902,209,0
1556995502,169,0
1556999102,171,0
1557002701,151,0
1557006302,129,0
1557009902,114,0
1557013502,133,0
1557017102,133,5251
1557020702,189,0
1557024302,216,0
1557027902,242,0
1557031502,384,0
1557035101,184,0
1557038702,142,0
1557042302,155,0
1557045902,180,0
1557049501,165,0
1557053101,122,0
1557056702,189,0
1557060301,137,0
1557063902,170,0
1557067502,172,0
1557071101,134,0
1557074702,151,0
1557078302,137,0
1557081902,121,0
1557085502,148,0
1557089102,161,0
1557092702,116,0
1557096302,145,0
1557099902,112,0
1557103502,120,4390
1557107102,204,0
1557110702,198,0
1557114302,144,0
1557117902,147,0
1557121501,155,0
1557125102,176,0
1557128701,217,0
1557132302,253,0
1557135902,237,0
1557139502,261,0
1557143102,255,0
1557146702,244,0
1557150302,293,0
1557153902,211,0
1557157502,182,0
1557161102,353,0
1557164702,268,0
1557168301,172,0
1557171902,163,0
1557175502,140,0
1557179102,149,0
1557182701,144,0
1557186302,167,0
1557189902,136,4383
1557193502,155,0
1557197102,189,0
1557200702,149,0
1557204302,141,0
1557207902,157,0
1557211502,182,0
1557215102,144,0
1557218702,164,0
1557222302,178,0
1557225902,195,0
1557229502,208,0
1557233102,165,0
1557236702,169,0
1557240302,141,0
1557243902,152,0
1557247502,125,0
1557251102,121,0
1557254702,152,0
1557258302,122,0
1557261902,116,0
1557265501,120,0
1557269102,125,0
1557272702,139,0
1557276302,146,4972
1557279902,209,0
1557283502,211,0
1557287102,212,0
1557290702,202,0
1557294302,202,0
1557297901,194,0
1557301502,204,0
1557305102,178,0
1557308702,205,0
1557312302,226,0
1557315902,197,0
1557319502,202,0
1557323102,198,0
1557326702,180,0
1557330302,180,0
1557333902,176,0
1557337502,179,0
1557341102,194,0
1557344702,164,0
1557348302,153,0
1557351902,146,0
1557355502,160,0
1557359102,143,0
1557362702,137,3636
1557366302,230,0
1557369902,157,0
1557373503,162,0
1557377102,194,0
1557380701,211,0
1557384302,209,0
1557387902,185,0
1557391502,205,0
1557395102,197,0
1557398702,174,0
1557402302,227,0
1557405902,197,0
1557409502,234,0
1557413102,220,0
1557416702,233,0
1557420302,235,0
1557423902,214,0
1557427502,204,0
1557431102,158,0
1557434701,119,0
1557438302,150,0
1557441902,171,0
1557445502,190,0
1557449102,174,4281
1557452702,173,0
1557456301,161,0
1557459902,201,0
1557463502,205,0
1557467102,203,0
1557470702,198,0
1557474302,206,0
1557477902,200,0
1557481502,175,0
1557485101,173,0
1557488702,211,0
1557492302,161,0
1557495902,134,0
1557499502,180,0
1557503102,171,0
1557506702,218,0
1557510302,173,0
1557513902,184,0
1557517502,344,0
1557521102,174,0
1557524702,144,0
1557528302,167,0
1557531902,152,0
1557535502,116,4537
1557539101,214,0
1557542702,166,0
1557546302,147,0
1557549902,168,0
1557553502,180,0
1557557102,180,0
1557560702,169,0
1557564302,300,0
1557568802,216,0
1557572402,173,0
1557576002,188,0
1557579602,242,0
1557583202,170,0
1557586802,133,0
1557590401,137,0
1557594003,167,0
1557597602,135,0
1557601202,123,0
1557604802,128,0
1557608402,128,0
1557612003,112,0
1557615602,114,0
1557619202,123,4210
1557622802,129,0
1557625502,108,0
1557632702,240,0
1557636302,203,0
1557643502,299,0
1557648002,162,0
1557651602,177,0
1557655202,147,0
1557658802,160,0
1557662402,126,0
1557666002,137,0
1557669602,101,0
1557673202,107,0
1557680402,277,0
1557687602,282,0
1557691202,111,0
1557694802,104,0
1557698402,95,0
1557702002,180,0
1557705602,78,4174
1557709202,191,0
1557716402,351,0
1557720002,167,0
1557723602,174,0
1557727202,213,0
1557731701,265,0
1557735302,197,0
1557738902,163,0
1557742502,212,0
1557749702,390,0
1557753302,220,0
1557756902,168,0
1557764102,361,0
1557767702,166,0
1557771302,178,0
1557774901,173,0
1557778502,147,0
1557782101,168,0
1557785702,133,0
1557790202,184,0
1557793802,153,3368
1557797402,174,0
1557801002,156,0
1557804602,142,0
1557811802,374,0
1557819002,401,0
1557826202,373,0
1557833402,372,0
1557840602,352,0
1557847802,273,0
1557855002,450,0
1557862202,390,0
1557865802,123,0
1557869402,217,0
1557873002,104,0
1557877502,148,0
1557881102,103,4371
1557888302,361,0
1557895502,321,0
1557902702,380,0
1557909902,382,0
1557917102,361,0
1557924302,326,0
1557927902,144,0
1557931502,137,0
1557935102,131,0
1557942302,257,0
1557946802,227,0
1557950402,271,0
1557954002,139,0
1557957602,121,0
1557961202,108,0
1557964802,108,4283
1557968403,180,0
1557975602,301,0
1557982801,290,0
1557990002,308,0
1557997202,353,0
1558004402,385,0
1558011602,331,0
1558018802,293,0
1558022402,164,0
1558026002,148,0
1558029602,186,0
1558033202,146,0
1558036802,146,0
1558040402,117,0
1558044002,120,0
1558048502,122,0
1558052102,103,4037
1558055702,134,0
1558059301,131,0
1558062901,155,0
1558066502,138,0
1558070102,137,0
1558073702,171,0
1558077302,162,0
1558080901,189,0
1558084502,176,0
1558088101,179,0
1558089902,83,0
1558093502,171,0
1558097102,167,0
1558100702,142,0
1558104302,156,0
1558107902,136,0
1558111501,162,0
1558118702,301,0
1558125902,327,0
1558133102,370,0
1558136702,118,0
1558143902,240,3648
1558147502,133,0
1558152002,200,0
1558155602,193,0
1558159202,184,0
1558162802,209,0
1558166402,177,0
1558170003,186,0
1558173602,194,0
1558177202,171,0
1558180802,166,0
1558184402,159,1
1558188002,124,0
1558195202,275,0
1558199701,184,0
1558203301,173,0
1558206902,138,0
1558214102,263,0
1558217702,108,0
1558221302,96,0
1558224902,103,3618
1558228502,136,0
1558235702,265,0
1558239302,170,0
1558243802,188,0
1558247401,155,0
1558251002,145,0
1558254602,126,0
1558258201,134,0
1558261802,158,0
1558265402,150,0
1558269002,120,0
1558276202,290,0
1558283402,243,0
1558290602,226,0
1558297802,232,0
1558301401,108,0
1558305001,147,0
1558308602,99,0
1558315802,211,3250
1558319402,140,0
1558326602,287,0
1558330202,182,0
1558334702,221,0
1558338302,218,0
1558341902,215,0
1558345502,197,0
1558349102,175,0
1558356302,369,0
1558363501,325,0
1558367102,153,0
1558370702,120,0
1558374302,142,0
1558376102,77,0
1558380602,156,0
1558384202,126,0
1558387801,107,0
1558392302,165,0
1558396802,213,3453
1558404001,367,0
1558407602,191,0
1558411202,199,0
1558414802,236,0
1558419302,299,0
1558422902,278,0
1558426501,193,0
1558430102,222,0
1558433702,164,0
1558437302,171,0
1558441802,265,0
1558449002,380,0
1558452602,201,0
1558456201,208,0
1558459802,172,0
1558464302,192,0
1558467902,137,0
1558471502,175,0
1558478702,292,0
1558483202,215,3775
1558486802,160,0
1558490402,137,0
1558494002,133,0
1558497602,127,0
1558501202,223,0
1558504802,163,0
1558508402,183,0
1558512002,161,0
1558520102,368,0
1558523702,173,0
1558527302,147,0
1558530902,222,0
1558538102,252,0
1558541702,170,3
1558549802,237,0
1558557002,224,0
1558564201,263,0
1558571402,227,4559
1558575002,141,0
1558578602,161,0
1558582202,142,0
1558589402,300,0
1558593902,209,0
1558601102,339,0
1558604702,167,0
1558608302,201,0
1558612802,219,0
1558616402,135,0
1558620002,181,0
1558623602,132,0
1558627202,133,0
1558634402,275,0
1558638002,142,0
1558642502,147,0
1558646102,119,0
1558649701,91,0
1558653302,103,0
1558656902,98,3799
1558660502,97,0
1558667702,272,0
1558671302,155,0
1558679402,481,0
