DateTime,AddedIPs,RemovedIPs
1556969724,0,8
1556972426,1,7
1556979623,3,6
1556984139,1,0
1556985932,1,0
1556986828,10,6
1556993128,1,0
1556994014,3,1
1556995823,1,0
1556998543,1,0
1556999434,2,0
1557000339,1,0
1557001218,4,6
1557004829,1,0
1557008420,1,0
1557013884,0,1
1557014731,9,0
1557015631,1,4
1557022836,4,3
1557030038,3,4
1557036344,2,0
1557037247,4,3
1557039049,1,0
1557039949,1,0
1557042650,1,0
1557044450,2,2
1557049855,1,0
1557051649,2,1
1557053446,7,0
1557057936,0,1
1557058847,1,3
1557064250,1,0
1557066049,2,7
1557073225,2,1
1557080431,4,4
1557084026,16,0
1557085834,2,0
1557087634,4,3
1557094834,2,6
1557102035,2,6
1557108352,1,0
1557109237,2,3
1557116437,3,3
1557123628,4,3
1557130832,4,6
1557138053,1,0
1557138934,1,3
1557142647,0,1
1557143441,16,0
1557145234,3,7
1557152446,10,4
1557159639,7,5
1557166829,6,2
1557174033,6,2
1557181236,4,3
1557182122,1,0
1557183934,1,0
1557188430,2,10
1557195633,3,2
1557202827,4,3
1557210027,4,2
1557217232,4,1
1557224439,1,5
1557225328,0,1
1557226246,9,0
1557228954,0,4
1557231646,2,2
1557238849,2,8
1557246044,4,5
1557253241,2,2
1557260438,9,4
1557267636,2,1
1557274844,1,3
1557282038,2,2
1557289235,3,5
1557296433,4,4
1557303634,3,2
1557305426,1,0
1557308134,0,1
1557310829,2,2
1557311742,0,3
1557315476,0,2
1557316236,13,0
1557318935,3,3
1557319836,0,1
1557325233,3,3
1557331537,0,1
1557332439,5,4
1557333345,0,1
1557339637,3,3
1557346842,6,3
1557354929,3,1
1557361229,5,2
1557368435,2,6
1557375627,3,5
1557382837,3,4
1557390043,6,2
1557394532,0,1
1557397234,4,2
1557399037,7,0
1557401727,0,3
1557402632,2,0
1557403529,1,0
1557404429,4,4
1557406222,1,0
1557407137,2,0
1557411632,2,3
1557413439,1,0
1557417936,0,1
1557418834,2,3
1557426027,5,5
1557431436,2,0
1557433230,3,2
1557435929,1,0
1557440431,7,2
1557447623,5,1
1557454826,1,4
1557460229,2,0
1557462028,1,4
1557469229,4,3
1557470137,1,0
1557471025,1,0
1557476423,2,1
1557483628,0,4
1557484529,0,5
1557488245,1,1
1557489036,5,0
1557490828,2,4
1557498031,5,2
1557505258,6,5
1557506148,2,0
1557507947,2,0
1557511549,1,0
1557512436,3,5
1557519625,6,1
1557526830,3,1
1557533128,2,0
1557534035,4,4
1557538546,1,0
1557541232,6,6
1557543036,5,0
1557548432,6,0
1557552932,1,0
1557555646,1,7
1557556537,2,0
1557557435,1,0
1557560131,1,0
1557562829,4,5
1557570030,2,5
1557571835,4,0
1557574531,1,0
1557577225,1,2
1557584431,4,3
1557591635,3,3
1557595239,3,0
1557598843,3,4
1557606032,5,5
1557609626,1,0
1557613230,4,3
1557619532,0,3
1557620430,5,2
1557626734,1,0
1557627640,0,3
1557633033,1,0
1557634833,5,2
1557635730,0,1
1557642030,2,4
1557644735,1,0
1557649228,3,1
1557657322,5,2
1557659295,0,6
1557661042,0,1
1557661828,6,0
1557663634,1,3
1557670845,2,7
1557678026,3,0
1557686127,2,6
1557688835,0,15
1557692431,3,2
1557700530,1,6
1557701436,3,0
1557703226,1,0
1557706830,2,5
1557714034,3,9
1557718536,1,0
1557721230,7,1
1557728447,5,4
1557735639,5,3
1557736529,1,0
1557737435,1,0
1557742834,1,3
1557743733,1,0
1557744633,8,0
1557748229,0,16
1557750030,1,4
1557757234,0,3
1557759025,0,2
1557764441,5,5
1557767141,1,0
1557771635,7,5
1557778836,4,2
1557786034,0,3
1557792337,0,1
1557793230,2,6
1557800429,2,6
1557804930,0,1
1557807633,2,1
1557814827,0,3
1557822032,15,4
1557829230,2,2
1557832064,0,7
1557833850,0,1
1557835535,6,0
1557836437,2,2
1557843642,2,3
1557847241,1,0
1557850839,4,2
1557858034,2,5
1557865232,4,8
1557872432,7,1
1557879637,7,4
1557886838,16,8
1557894030,6,1
1557901229,6,5
1557903929,1,0
1557904836,1,0
1557908437,3,0
1557909336,0,1
1557915628,1,4
1557917436,6,1
1557921031,0,11
1557923728,2,1
1557930025,4,5
1557932731,0,1
1557938142,3,5
1557940842,1,0
1557941737,2,0
1557942637,2,0
1557944435,2,3
1557951634,6,1
1557958831,5,5
1557966026,2,2
1557967835,0,1
1557973226,3,4
1557980432,4,5
1557982233,0,1
1557987635,3,4
1557994831,4,4
1558002033,3,3
1558003964,0,8
1558006638,0,2
1558007427,16,0
1558009227,4,4
1558016435,1,4
1558020924,1,0
1558023634,5,5
1558030833,5,6
1558038038,4,0
1558045236,1,3
1558052438,2,3
1558059645,3,1
1558066835,2,1
1558074028,4,5
1558078536,1,0
1558081236,3,2
1558088426,6,4
1558090240,9,0
1558093821,0,10
1558095623,2,1
1558102830,3,5
1558110024,5,5
1558117226,0,4
1558124425,8,4
1558131627,1,5
1558136123,0,1
1558137927,0,1
1558138827,3,2
1558146026,2,5
1558148726,2,0
1558152329,0,1
1558153222,4,4
1558160424,2,7
1558167625,5,2
1558174828,3,4
1558177668,0,2
1558180309,0,1
1558181132,7,0
1558182033,2,1
1558189241,1,4
1558196441,3,2
1558202723,1,0
1558203639,3,5
1558204527,1,0
1558210833,10,4
1558218027,2,4
1558225227,4,2
1558232435,2,4
1558234228,0,1
1558239634,4,4
1558246824,3,5
1558249527,0,1
1558254034,4,5
1558261232,2,2
1558263036,3,0
1558266631,0,3
1558268431,4,0
1558275625,0,6
1558278331,0,2
1558282830,6,3
1558285535,1,0
1558290029,3,5
1558297232,8,2
1558304426,1,5
1558311631,1,3
1558318833,2,3
1558326045,3,3
1558326933,1,0
1558327837,1,0
1558330543,2,0
1558331444,1,0
1558334127,6,3
1558338635,1,0
1558339546,4,0
1558340431,3,2
1558346737,1,0
1558347632,5,1
1558350473,1,7
1558351360,1,0
1558352264,1,1
1558353046,6,0
1558353942,5,0
1558354832,2,5
1558356633,8,0
1558362035,3,3
1558369240,4,2
1558373732,0,1
1558374638,0,1
1558376427,5,4
1558383634,3,2
1558391739,2,4
1558398035,4,1
1558405234,3,4
1558407039,1,0
1558412428,7,4
1558416049,2,0
1558416936,3,0
1558419639,3,4
1558426831,3,5
1558434039,7,3
1558435835,13,0
1558436726,1,0
1558438534,1,0
1558440330,0,3
1558441227,2,0
1558448430,2,5
1558455631,5,2
1558462833,2,9
1558464633,1,0
1558466429,0,1
1558470036,5,5
1558477230,4,2
1558483529,3,0
1558484434,1,2
1558491640,3,3
1558495231,0,1
1558498835,8,3
1558505134,1,0
1558506025,4,2
1558513237,5,3
1558520434,5,2
1558523266,0,4
1558525070,0,1
1558525832,12,0
1558526741,1,0
1558527628,3,5
1558534834,4,1
1558537541,1,0
1558542033,4,2
1558544739,0,1
1558549246,3,4
1558550131,2,0
1558556432,3,3
1558560032,1,0
1558561832,1,0
1558563641,4,3
1558570836,2,5
1558575344,2,0
1558576232,1,0
1558578034,3,6
1558585240,3,2
1558587934,1,0
1558592435,3,4
1558597836,2,0
1558598734,1,0
1558599634,4,6
1558603241,1,0
1558606837,5,3
1558612230,0,12
1558614027,4,2
1558621225,3,0
1558624839,13,0
1558625734,2,0
1558627555,0,1
1558629341,3,5
1558630241,1,0
1558635644,3,5
1558642845,3,2
1558650047,1,2
1558654547,1,0
1558657233,3,4
1558659043,3,0
1558664448,4,6
1558669847,1,0
1558671648,4,6
1558678847,2,6
1558679747,4,1
1558680658,1,0
1558682445,1,0
1558684246,0,1
1558686051,5,8
1558686945,1,0
1558688738,2,0
1558693238,0,4
1558696082,0,10
1558698652,9,0
1558700452,18,4
1558704946,1,0
1558707643,1,4
1558708551,1,0
1558714842,3,4
1558715752,1,0
1558722049,3,1
1558723850,2,0
1558729246,1,2
1558733748,1,0
1558736454,1,2
1558743651,1,2
1558749045,2,0
1558750838,9,4
1558754443,1,0
1558758041,2,2
1558762542,1,0
1558765243,4,1
1558772453,0,6
1558778747,1,0
1558779643,3,3
1558780547,1,2
1558782355,4,0
1558785945,0,4
1558786851,4,3
1558787751,1,0
1558794044,2,6
1558796747,2,1
1558798545,1,0
1558801244,3,1
1558808440,2,6
1558815645,0,1
1558821947,1,0
1558822849,0,6
1558830039,0,4
1558831841,2,0
1558837245,0,2
1558844445,0,1
1558851641,0,4
1558866040,0,5
1558866944,1,0
1558868893,0,3
1558871466,17,0
