DateTime,AddedIPs,RemovedIPs
1556953404,0,4
1556956941,2,0
1556960607,0,1
1556964204,3,1
1556967743,1,0
1556975003,1,3
1556978607,1,2
1556982202,4,0
1556985803,6,3
1556989402,0,1
1556993002,2,0
1556996602,0,4
1557000202,2,2
1557003802,1,0
1557007402,1,2
1557011003,1,2
1557014546,0,10
1557018142,2,0
1557021743,2,3
1557025402,1,2
1557029002,2,2
1557032605,1,0
1557036205,2,2
1557039743,1,2
1557043403,1,3
1557046942,0,2
1557050602,1,0
1557054142,1,0
1557057802,0,1
1557061402,1,0
1557065002,0,7
1557068542,1,0
1557072204,1,1
1557075743,0,2
1557079343,4,2
1557083007,0,2
1557086607,4,0
1557090204,1,1
1557093804,1,3
1557097404,1,1
1557104606,0,5
1557108143,1,0
1557111804,1,2
1557115403,2,2
1557118943,2,1
1557122604,2,2
1557126205,2,1
1557129803,1,0
1557136944,1,2
1557144204,2,1
1557147804,4,0
1557151405,7,2
1557155003,4,3
1557158604,2,2
1557162207,2,4
1557165805,4,0
1557172944,5,5
1557176544,3,0
1557183744,1,2
1557187346,1,2
1557194605,3,0
1557198148,2,2
1557201744,2,2
1557205405,2,2
1557208944,1,3
1557212605,1,1
1557216205,2,0
1557219805,0,3
1557230604,1,2
1557234144,1,2
1557237745,1,1
1557241405,1,2
1557245004,3,1
1557248606,1,0
1557252206,0,2
1557255805,1,2
1557263006,0,2
1557266608,1,0
1557270205,0,2
1557273809,1,0
1557277407,0,2
1557280945,1,0
1557284606,1,2
1557288206,2,6
1557291806,2,0
1557295408,2,2
1557299006,1,3
1557302606,2,1
1557306206,0,2
1557309806,0,1
1557313405,1,1
1557317005,2,0
1557320546,2,3
1557324205,2,2
1557327806,1,0
1557331347,3,2
1557335006,1,1
1557338546,1,2
1557342207,3,0
1557345746,4,3
1557349346,1,0
1557353007,2,0
1557356606,1,1
1557360147,2,1
1557367406,2,3
1557370946,1,2
1557374547,2,0
1557381806,2,2
1557385347,1,1
1557389007,4,2
1557392606,2,0
1557396146,2,3
1557399746,2,0
1557403347,0,1
1557407006,0,3
1557410546,1,0
1557414207,2,3
1557417807,1,2
1557421406,1,0
1557425007,3,2
1557428607,2,5
1557432147,1,0
1557435747,2,0
1557439407,4,0
1557443007,1,1
1557446547,3,0
1557450207,0,4
1557453747,1,1
1557457407,1,0
1557460947,1,5
1557468148,1,2
1557471747,0,4
1557475408,3,0
1557478947,0,4
1557486207,1,3
1557489807,0,2
1557493407,2,1
1557496947,2,0
1557500547,3,0
1557504207,2,3
1557504508,1,0
1557507808,0,2
1557511407,3,2
1557515008,3,0
1557518608,3,4
1557522149,1,0
1557525749,2,2
1557529408,3,3
1557533128,1,0
1557536549,2,0
1557540149,1,1
1557543748,1,3
1557547409,5,0
1557551009,0,2
1557558208,0,1
1557561749,3,3
1557565348,2,0
1557569009,0,2
1557576210,1,0
1557579809,2,2
1557583349,1,2
1557587008,0,3
1557590549,3,0
1557594149,1,0
1557597749,1,1
1557601350,2,4
1557604949,2,2
1557608609,2,2
1557612209,2,3
1557615809,2,0
1557619409,2,2
1557623009,0,2
1557626610,0,3
1557630150,2,8
1557633749,3,0
1557641010,1,0
1557644549,1,3
1557648149,2,1
1557651810,2,4
1557655410,3,0
1557659009,0,3
1557662609,1,0
1557666210,1,3
1557669810,0,2
1557673351,1,0
1557676950,2,1
1557680550,0,1
1557684150,2,7
1557687750,1,0
1557688353,3,3
1557691350,0,3
1557698550,3,1
1557698970,0,2
1557702155,0,1
1557705750,1,0
1557709411,1,2
1557713010,1,2
1557716551,5,3
1557720211,2,4
1557723750,4,0
1557727350,1,0
1557731011,1,1
1557734611,3,2
1557738150,0,3
1557741751,1,1
1557745412,0,1
1557749014,1,1
1557756151,0,1
1557759751,1,2
1557763351,3,1
1557766951,3,0
1557770550,3,2
1557777751,4,2
1557788551,1,1
1557792155,1,4
1557799351,1,1
1557802951,0,8
1557806612,1,0
1557810212,0,1
1557813752,1,2
1557817352,2,1
1557820951,13,0
1557824551,1,0
1557831753,2,1
1557835351,0,2
1557842552,2,5
1557846213,1,0
1557849752,2,1
1557853356,1,4
1557857011,1,1
1557860615,1,1
1557864152,2,0
1557867752,1,1
1557871012,3,0
1557871371,5,0
1557874972,7,0
1557878571,1,4
1557882231,15,0
1557885771,1,8
1557889431,2,0
1557893032,3,1
1557896572,5,4
1557900171,1,2
1557903772,1,2
1557907372,2,0
1557910972,0,3
1557914632,0,2
1557918172,0,2
1557921772,2,0
1557925372,1,2
1557928972,1,1
1557932572,0,1
1557936232,3,4
1557939772,0,3
1557943132,1,1
