DateTime,AddedIPs,RemovedIPs
1557007402,1,0
1557011003,1,3
1557014546,0,1
1557018142,2,2
1557021743,2,4
1557025402,1,2
1557029002,2,2
1557032605,1,4
1557036205,2,2
1557039743,1,1
1557043403,1,0
1557050602,2,0
1557054142,1,2
1557057802,3,1
1557061402,1,0
1557065002,1,2
1557068542,1,4
1557072204,1,3
1557075743,0,2
1557079343,4,2
1557086607,4,3
1557090204,1,3
1557093804,1,0
1557097404,1,2
1557104606,2,2
1557108143,1,0
1557111804,1,0
1557115403,2,2
1557118943,2,2
1557122604,2,2
1557126205,2,3
1557129803,2,1
1557133404,0,3
1557136944,1,0
1557144204,2,2
1557147804,4,2
1557151405,7,2
1557155003,4,0
1557158604,2,2
1557162207,2,1
1557165805,4,2
1557172944,5,3
1557176544,3,2
1557183744,1,0
1557187346,1,2
1557190945,1,0
1557194605,4,2
1557198148,2,2
1557201744,2,3
1557205405,2,4
1557208944,1,2
1557212605,1,3
1557216205,2,4
1557219805,0,1
1557223405,1,1
1557226945,1,1
1557230604,1,2
1557234144,1,1
1557237745,1,2
1557241405,1,2
1557245004,3,2
1557248606,1,1
1557252206,0,1
1557255805,1,1
1557259405,1,3
1557266608,1,0
1557270205,1,1
1557273809,1,1
1557280945,1,1
1557284606,1,2
1557288206,3,3
1557291806,2,0
1557295408,2,2
1557299006,1,1
1557302606,2,2
1557309806,0,1
1557313405,1,4
1557317005,3,2
1557320546,2,1
1557324205,2,3
1557327806,1,0
1557331347,3,3
1557335006,1,2
1557338546,2,2
1557342207,4,3
1557345746,5,2
1557349346,1,0
1557353007,2,0
1557356606,1,0
1557360147,3,1
1557363807,0,2
1557367406,2,2
1557370946,1,1
1557374547,2,5
1557381806,2,0
1557385347,1,2
1557389007,4,4
1557392606,2,2
1557396146,2,2
1557399746,2,3
1557403347,0,3
1557407006,0,1
1557410546,2,0
1557414207,2,0
1557417807,1,3
1557421406,1,0
1557425007,3,2
1557428607,2,2
1557432147,1,1
1557435747,2,3
1557439407,4,2
1557443007,1,2
1557446547,3,1
1557453747,1,1
1557457407,1,2
1557460947,1,1
1557468148,1,2
1557471747,0,1
1557475408,3,2
1557478947,0,1
1557486207,1,3
1557489807,1,0
1557493407,2,1
1557496947,2,2
1557500547,3,2
1557504207,3,4
1557504508,1,0
1557511407,3,1
1557515008,3,4
1557518608,3,3
1557522149,1,2
1557525749,2,0
1557529408,4,3
1557533128,1,2
1557536549,2,2
1557540149,1,3
1557543748,1,1
1557547409,5,7
1557551009,0,1
1557554548,1,0
1557558208,1,3
1557561749,3,1
1557565348,2,3
1557569009,0,1
1557576210,1,3
1557579809,2,2
1557583349,1,1
1557587008,0,2
1557590549,3,1
1557594149,1,2
1557597749,1,5
1557601350,2,2
1557604949,2,3
1557608609,3,3
1557612209,2,1
1557615809,2,5
1557619409,2,1
1557623009,0,2
1557626610,0,2
1557630150,2,3
1557633749,3,2
1557637410,0,3
1557641010,1,0
1557644549,4,1
1557648149,2,4
1557651810,2,1
1557655410,3,2
1557659009,0,1
1557662609,1,1
1557666210,1,2
1557669810,0,2
1557673351,1,1
1557676950,3,1
1557680550,1,1
1557684150,2,1
1557687750,1,2
1557688353,3,1
1557691350,0,1
1557698550,4,1
1557698970,0,1
1557705750,2,1
1557709411,1,3
1557713010,2,2
1557716551,5,7
1557720211,3,2
1557723750,4,0
1557727350,1,1
1557731011,1,4
1557734611,5,1
1557738150,1,0
1557741751,1,0
1557745412,0,1
1557749014,2,2
1557756151,1,0
1557759751,1,5
1557763351,3,1
1557766951,3,3
1557770550,3,2
1557774151,0,1
1557777751,4,1
1557785011,0,1
1557788551,1,0
1557792155,1,4
1557799351,1,4
1557802951,1,5
1557806612,1,2
1557810212,0,5
1557813752,1,1
1557817352,3,2
1557820951,13,3
1557824551,1,3
1557831753,2,2
1557835351,0,3
1557839014,1,3
1557842552,2,2
1557846213,2,1
1557849752,2,5
1557853356,3,3
1557857011,2,1
1557860615,1,3
1557864152,2,4
1557867752,3,0
1557871012,3,0
1557871371,5,0
1557874972,7,1
1557878571,2,1
1557882231,15,2
1557885771,1,2
1557889431,3,1
1557893032,3,1
1557896572,5,0
1557900171,1,1
1557903772,1,2
1557907372,3,3
1557914632,0,1
1557918172,1,1
1557921772,2,2
1557925372,1,0
1557928972,1,1
1557932572,0,1
1557936232,3,5
1557939772,0,1
1557943132,1,3
1557947033,2,2
1557950573,4,2
1557954172,2,3
1557957773,0,3
1557961372,1,3
1557964973,1,4
1557968574,3,1
1557972174,3,0
1557975773,2,1
1557979373,2,3
1557983033,0,1
1557986574,2,2
1557990176,1,3
1557993774,3,4
1557997373,1,0
1558000974,2,1
1558004574,1,2
1558008234,3,1
1558015373,1,1
1558018974,5,2
1558022574,0,1
1558026174,1,1
1558029795,3,1
1558033377,3,2
1558036973,1,4
1558040574,1,0
1558044173,2,4
1558047777,1,1
1558051374,1,1
1558054975,2,2
1558058573,1,0
1558062174,1,2
1558065773,2,1
1558072973,4,3
1558076633,0,1
1558080175,3,4
1558083774,3,3
1558087435,2,3
1558090991,1,2
1558094575,1,0
1558098174,1,2
1558101774,1,0
1558105374,2,3
1558108975,4,4
1558112574,1,2
1558116174,0,1
1558119774,4,3
1558123374,4,2
1558126974,0,1
1558130574,1,1
1558134174,1,2
1558137775,1,0
1558144975,1,2
1558148575,2,1
1558152174,1,2
1558155835,1,1
1558159375,1,2
1558162976,2,1
1558166576,2,2
1558170175,1,1
1558173776,2,2
1558177375,1,0
1558180975,0,1
1558184576,1,2
1558188175,1,2
1558191775,2,3
1558195435,0,1
1558198975,1,1
1558202575,2,2
1558206461,4,2
1558209775,5,1
1558213376,1,3
1558216976,1,0
1558220575,3,2
1558224175,1,0
1558227776,1,1
1558231376,2,1
1558234976,1,0
1558238576,3,4
1558239056,2,2
1558245776,1,3
1558249376,2,1
1558253036,2,5
1558256576,3,3
1558260176,1,1
1558263776,2,1
1558267376,1,2
1558270977,1,0
1558274577,1,0
1558278177,4,3
1558281777,2,1
1558285376,0,1
1558288976,1,1
1558292587,2,3
1558296177,7,7
1558299779,0,2
1558303377,1,3
1558317778,2,2
1558321377,1,2
1558324977,2,2
1558328577,4,2
1558332178,2,2
1558335777,1,2
1558339377,3,0
1558342978,2,5
1558346578,2,1
1558350178,2,2
1558353778,0,1
1558357378,2,4
1558360978,1,2
1558364577,3,1
1558368177,1,0
1558371515,1,1
1558371815,1,1
1558375356,4,0
